	id	acronym
0	184	FRP
1	985	MOp
2	993	MOs
3	353	SSp-n
4	329	SSp-bfd
5	337	SSp-ll
6	345	SSp-m
7	369	SSp-ul
8	361	SSp-tr
9	182305689	SSp-un
10	378	SSs
11	1057	GU
12	677	Prosv-sr
13	1011	AUDd
14	1002	AUDp
15	1027	AUDpo
16	1018	AUDv
17	402	VISal
18	394	VISam
19	409	VISl
20	385	VISp
21	425	VISpl
22	533	VISpm
23	312782574	VISli
24	312782628	VISpor
25	39	ACAd
26	48	ACAv
27	972	PL
28	44	ILA
29	723	ORBl
30	731	ORBm
31	746	ORBvl
32	104	AId
33	111	AIp
34	119	AIv
35	894	RSPagl
36	879	RSPd
37	886	RSPv
38	312782546	VISa
39	417	VISrl
40	541	TEa
41	922	PERI
42	895	ECT
43	507	MOB
44	151	AOB
45	159	AON
46	589	TT
47	814	DP
48	961	PIR
49	619	NLOT
50	639	COAa
51	647	COAp
52	788	PAA
53	566	TR
54	382	CA1
55	423	CA2
56	463	CA3
57	726	DG
58	982	FC
59	19	IG
60	918	ENTl
61	926	ENTm
62	843	PAR
63	1037	POST
64	1084	PRE
65	502	SUB
66	484682470	ProS
67	589508447	HATA
68	484682508	APr
69	583	CLA
70	952	EPd
71	966	EPv
72	131	LA
73	295	BLA
74	319	BMA
75	780	PA
76	672	CP
77	56	ACB
78	998	FS
79	754	OT
80	250	LSc
81	258	LSr
82	266	LSv
83	310	SF
84	333	SH
85	23	AAA
86	292	BA
87	536	CEA
88	1105	IA
89	403	MEA
90	1022	GPe
91	1031	GPi
92	342	SI
93	298	MA
94	564	MS
95	596	NDB
96	581	TRS
97	351	BST
98	287	BAC
99	629	VAL
100	685	VM
101	718	VPL
102	725	VPLpc
103	733	VPM
104	741	VPMpc
105	563807435	PoT
106	414	SPFm
107	422	SPFp
108	609	SPA
109	1044	PP
110	475	MG
111	170	LGd
112	218	LP
113	1020	PO
114	1029	POL
115	325	SGN
116	255	AV
117	127	AM
118	64	AD
119	1120	IAM
120	1113	IAD
121	155	LD
122	59	IMD
123	362	MD
124	366	SMT
125	1077	PR
126	149	PVT
127	15	PT
128	181	RE
129	560581559	Xi
130	189	RH
131	599	CM
132	907	PCN
133	575	CL
134	930	PF
135	560581563	PIL
136	262	RT
137	27	IGL
138	563807439	IntG
139	178	LGv
140	321	SubG
141	483	MH
142	186	LH
143	390	SO
144	332	ASO
145	38	PVH
146	30	PVa
147	118	PVi
148	223	ARH
149	72	ADP
150	263	AVP
151	272	AVPV
152	830	DMH
153	452	MEPO
154	523	MPO
155	763	OV
156	914	PD
157	1109	PS
158	126	PVp
159	133	PVpo
160	347	SBPV
161	286	SCH
162	338	SFO
163	576073699	VMPO
164	689	VLPO
165	88	AHN
166	210	LM
167	491	MM
168	525	SUM
169	1126	TMd
170	1	TMv
171	515	MPN
172	980	PMd
173	1004	PMv
174	63	PVHd
175	693	VMH
176	946	PH
177	194	LHA
178	226	LPO
179	356	PST
180	364	PSTN
181	576073704	PeF
182	173	RCH
183	470	STN
184	614	TU
185	797	ZI
186	10671	ME
187	302	SCs
188	4	IC
189	580	NB
190	271	SAG
191	874	PBG
192	460	MEV
193	599626923	SCO
194	381	SNr
195	749	VTA
196	607344830	PN
197	246	RR
198	128	MRN
199	294	SCm
200	795	PAG
201	215	APN
202	531	MPT
203	628	NOT
204	634	NPC
205	706	OP
206	1061	PPT
207	616	CUN
208	214	RN
209	35	III
210	549009211	MA3
211	975	EW
212	115	IV
213	606826663	Pa4
214	757	VTN
215	231	AT
216	66	LT
217	75	DT
218	58	MT
219	374	SNc
220	1052	PPN
221	12	IF
222	100	IPN
223	197	RL
224	591	CLI
225	872	DR
226	612	NLL
227	7	PSV
228	867	PB
229	398	SOC
230	280	B
231	880	DTN
232	599626927	PDTg
233	898	PCG
234	931	PG
235	1093	PRNc
236	318	SG
237	534	SUT
238	574	TRN
239	621	V
240	549009215	P5
241	549009219	Acs5
242	549009223	PC5
243	549009227	I5
244	679	CS
245	147	LC
246	162	LDT
247	604	NI
248	146	PRNr
249	238	RPO
250	350	SLC
251	358	SLD
252	207	AP
253	96	DCO
254	101	VCO
255	711	CU
256	1039	GR
257	903	ECU
258	642	NTB
259	651	NTS
260	429	SPVC
261	437	SPVI
262	445	SPVO
263	589508451	Pa5
264	653	VI
265	661	VII
266	576	ACVII
267	135	AMB
268	839	DMX
269	1048	GRN
270	372	ICB
271	83	IO
272	136	IRN
273	106	ISN
274	203	LIN
275	235	LRN
276	307	MARN
277	395	MDRN
278	1098	MDRNd
279	1107	MDRNv
280	852	PARN
281	859	PAS
282	970	PGRNd
283	978	PGRNl
284	177	NR
285	169	PRP
286	1069	PPY
287	209	LAV
288	202	MV
289	225	SPIV
290	217	SUV
291	765	x
292	773	XII
293	781	y
294	206	RM
295	230	RPA
296	222	RO
297	912	LING
298	920	CENT
299	928	CUL
300	936	DEC
301	944	FOTU
302	951	PYR
303	957	UVU
304	968	NOD
305	1007	SIM
306	1017	AN
307	1025	PRM
308	1033	COPY
309	1041	PFL
310	1049	FL
311	989	FN
312	91	IP
313	846	DN
314	589508455	VeCB
315	1009	fiber tracts
