# Learning curve for 3 channels, 5 kernels (2-6), and no pretraining:
Epoch:  1, loss: 0.61644, Train accuracy: 0.57773, Test accuracy: 0.58005
Epoch:  2, loss: 0.52941, Train accuracy: 0.63232, Test accuracy: 0.64567
Epoch:  3, loss: 0.45162, Train accuracy: 0.67202, Test accuracy: 0.65486
Epoch:  4, loss: 0.39107, Train accuracy: 0.69172, Test accuracy: 0.68241
Epoch:  5, loss: 0.36106, Train accuracy: 0.70501, Test accuracy: 0.68635
Epoch:  6, loss: 0.35437, Train accuracy: 0.71230, Test accuracy: 0.69029
Epoch:  7, loss: 0.34834, Train accuracy: 0.71771, Test accuracy: 0.68898
Epoch:  8, loss: 0.34592, Train accuracy: 0.72676, Test accuracy: 0.69423
Epoch:  9, loss: 0.34830, Train accuracy: 0.73084, Test accuracy: 0.69029
Epoch: 10, loss: 0.35174, Train accuracy: 0.73449, Test accuracy: 0.67848
Epoch: 11, loss: 0.34971, Train accuracy: 0.73902, Test accuracy: 0.67585
Epoch: 12, loss: 0.33865, Train accuracy: 0.74091, Test accuracy: 0.67979
Epoch: 13, loss: 0.32733, Train accuracy: 0.74194, Test accuracy: 0.67979
Epoch: 14, loss: 0.31803, Train accuracy: 0.74485, Test accuracy: 0.67848
Epoch: 15, loss: 0.29845, Train accuracy: 0.74821, Test accuracy: 0.67454
Epoch: 16, loss: 0.28798, Train accuracy: 0.75230, Test accuracy: 0.67717
Epoch: 17, loss: 0.27275, Train accuracy: 0.75405, Test accuracy: 0.67979
Epoch: 18, loss: 0.26141, Train accuracy: 0.75522, Test accuracy: 0.67979
Epoch: 19, loss: 0.25620, Train accuracy: 0.75653, Test accuracy: 0.68110
Epoch: 20, loss: 0.24726, Train accuracy: 0.75960, Test accuracy: 0.68635
Epoch: 21, loss: 0.24117, Train accuracy: 0.76237, Test accuracy: 0.68373
Epoch: 22, loss: 0.24518, Train accuracy: 0.76354, Test accuracy: 0.69029
Epoch: 23, loss: 0.24170, Train accuracy: 0.76573, Test accuracy: 0.68898
Epoch: 24, loss: 0.23975, Train accuracy: 0.76748, Test accuracy: 0.69160
Epoch: 25, loss: 0.23515, Train accuracy: 0.76967, Test accuracy: 0.68898
Epoch: 26, loss: 0.23023, Train accuracy: 0.77142, Test accuracy: 0.68766
Epoch: 27, loss: 0.22603, Train accuracy: 0.77215, Test accuracy: 0.68898
Epoch: 28, loss: 0.22693, Train accuracy: 0.77288, Test accuracy: 0.68766
Epoch: 29, loss: 0.22502, Train accuracy: 0.77478, Test accuracy: 0.69029
Epoch: 30, loss: 0.22515, Train accuracy: 0.77726, Test accuracy: 0.68373
Epoch: 31, loss: 0.22755, Train accuracy: 0.77682, Test accuracy: 0.68241
