Category,Name,Include
OST_AbutmentFoundations,Abutment Foundations,0
OST_AbutmentPiles,Abutment Piles,0
OST_AbutmentWalls,Abutment Walls,0
OST_Alignments,Alignments,0
OST_AnalyticSpaces,Analytical Spaces,1
OST_AnalyticSurfaces,Analytical Surfaces,1
OST_AnalyticalNodes,Analytical Nodes,0
OST_AnalyticalPipeConnections,Analytical Pipe Connections,0
OST_ApproachSlabs,Approach Slabs,0
OST_AreaLoads,Area Loads,1
OST_AreaRein,Structural Area Reinforcement,0
OST_Areas,Areas,1
OST_Assemblies,Assemblies,1
OST_AudioVisualDevices,Audio Visual Devices,1
OST_BeamAnalytical,Analytical Beams,0
OST_BraceAnalytical,Analytical Braces,0
OST_BridgeAbutments,Abutments,0
OST_BridgeArches,Arches,0
OST_BridgeBearings,Bearings,0
OST_BridgeCables,Bridge Cables,0
OST_BridgeDecks,Bridge Decks,0
OST_BridgeFoundations,Pier Foundations,0
OST_BridgeFraming,Bridge Framing,0
OST_BridgeFramingCrossBracing,Cross Bracing,0
OST_BridgeFramingDiaphragms,Diaphragms,0
OST_BridgeFramingTrusses,Trusses,0
OST_BridgeGirders,Primarys,0
OST_BridgePiers,Piers,0
OST_BridgeTowers,Pier Towers,0
OST_BuildingPad,Pads,0
OST_CLines,Reference Planes,0
OST_CableTray,Cable Trays,1
OST_CableTrayFitting,Cable Tray Fittings,1
OST_Callouts,Callouts,1
OST_Casework,Casework,0
OST_Ceilings,Ceilings,0
OST_ColumnAnalytical,Analytical Columns,0
OST_Columns,Columns,0
OST_CommunicationDevices,Communication Devices,1
OST_Conduit,Conduits,1
OST_ConduitFitting,Conduit Fittings,1
OST_Coupler,Structural Rebar Couplers,0
OST_CurtaSystem,Curtain Systems,0
OST_CurtainWallMullions,Curtain Wall Mullions,0
OST_CurtainWallPanels,Curtain Panels,0
OST_DataDevices,Data Devices,1
OST_DetailComponents,Detail Items,1
OST_Doors,Doors,0
OST_DuctAccessory,Duct Accessories,1
OST_DuctCurves,Ducts,1
OST_DuctFitting,Duct Fittings,1
OST_DuctInsulations,Duct Insulations,1
OST_DuctLinings,Duct Linings,1
OST_DuctSystem,Duct Systems,1
OST_DuctTerminal,Air Terminals,1
OST_EdgeSlab,Slab Edges,0
OST_ElectricalEquipment,Electrical Equipment,1
OST_ElectricalFixtures,Electrical Fixtures,1
