arch,subarch,network,arch_dim,throughput,energy_efficiency,power_efficiency
systolic,mac,single_node,64x64,0.5029127372072998,0.2655466739658866,0.5268020904997243
systolic,figna,single_node,64x64,0.5029127372072998,0.21779547881995653,0.4320713636898386
simd,mac,single_node,64x64,0.5080486961337927,0.28181222286317786,0.5590703356042341
simd,figna,single_node,64x64,0.5080486961337927,0.22905628988444535,0.4544110101290074
mugi,,multi_node_4x4,64x8,1.0600459721800697,1.6706234541190823,1.575338577873262
mugi,,multi_node_4x4,128x8,2.116138402318243,4.989906586013713,2.357047699014813
mugi,,multi_node_4x4,256x8,3.765291410296744,10.244572396232982,2.7196639642631415
carat,,multi_node_4x4,64x8,1.0632752477866112,1.4568486545190467,1.3809587237840237
carat,,multi_node_4x4,128x8,2.1218200519442627,4.152553946262972,1.9725074143042403
carat,,multi_node_4x4,256x8,3.775468940436437,7.795473071623023,2.081054126939
systolic,mac,multi_node_4x4,8x8,1.0,1.0,1.0
systolic,mac,multi_node_4x4,16x16,2.007982223397697,2.3863318591155616,1.1868598394968641
systolic,figna,multi_node_4x4,8x8,1.0,0.911999821360883,0.9119998213608826
systolic,figna,multi_node_4x4,16x16,2.007982223397697,2.0771683803142067,1.0330950915525174
simd,mac,multi_node_4x4,8x8,1.0078872809882145,1.0402800896801385,1.040280089680138
simd,mac,multi_node_4x4,16x16,2.0264848880884974,2.520819113798193,1.2537480725384165
simd,figna,multi_node_4x4,8x8,1.0078872809882145,0.9460567019284071,0.9460567019284074
simd,figna,multi_node_4x4,16x16,2.0264848880884974,2.1810490750351277,1.0847609251172552
mugi,,multi_node_8x8,64x8,4.24018388872028,6.871189610493097,1.6198219357274992
mugi,,multi_node_8x8,128x8,8.464553609272967,20.813450931252476,2.4578765043203723
mugi,,multi_node_8x8,256x8,15.061165641186976,43.05425976031257,2.857442806036564
carat,,multi_node_8x8,64x8,4.253100991146446,5.973820959120834,1.4156584045693523
carat,,multi_node_8x8,128x8,8.487280207777053,17.268484035644317,2.0506785242824237
carat,,multi_node_8x8,256x8,15.101875761745767,32.68482102839856,2.1813583686477225
systolic,mac,multi_node_8x8,8x8,3.999999999999997,3.9816323339984474,0.995408083499612
systolic,mac,multi_node_8x8,16x16,8.03192889359079,9.469336554482357,1.177411182382666
systolic,figna,multi_node_8x8,8x8,3.999999999999997,3.632718700010073,0.9081796750025176
systolic,figna,multi_node_8x8,16x16,8.03192889359079,8.251021193006745,1.0259266383476404
simd,mac,multi_node_8x8,8x8,4.031549123952859,4.142222202876955,1.035555550719238
simd,mac,multi_node_8x8,16x16,8.105939552353984,10.00122687708237,1.243546081066137
simd,figna,multi_node_8x8,8x8,4.031549123952859,3.7685937897482376,0.9421484474370592
simd,figna,multi_node_8x8,16x16,8.105939552353984,8.66269048980904,1.077113332442824
