arch,subarch,arch_dim,max_seq_len,batch_size,throughput
mugi,none,128x8,max_seq_len_512,batch_size_1,2.0042320222779364
mugi,none,128x8,max_seq_len_512,batch_size_2,3.996075540589163
mugi,none,128x8,max_seq_len_512,batch_size_4,7.942978846318735
mugi,none,128x8,max_seq_len_512,batch_size_8,15.692879361749306
mugi,none,128x8,max_seq_len_512,batch_size_16,15.692879418469488
mugi,none,128x8,max_seq_len_512,batch_size_32,15.692879418469488
mugi,none,128x8,max_seq_len_2048,batch_size_1,2.0077573995837232
mugi,none,128x8,max_seq_len_2048,batch_size_2,3.946490283075488
mugi,none,128x8,max_seq_len_2048,batch_size_4,7.6300354363716725
mugi,none,128x8,max_seq_len_2048,batch_size_8,14.310142448600002
mugi,none,128x8,max_seq_len_2048,batch_size_16,14.310142674113811
mugi,none,128x8,max_seq_len_2048,batch_size_32,14.310142674113811
mugi,none,128x8,max_seq_len_4096,batch_size_1,2.019487694674832
mugi,none,128x8,max_seq_len_4096,batch_size_2,3.810751978245416
mugi,none,128x8,max_seq_len_4096,batch_size_4,6.848945342361744
mugi,none,128x8,max_seq_len_4096,batch_size_8,11.407947497224535
mugi,none,128x8,max_seq_len_4096,batch_size_16,11.407947845353918
mugi,none,128x8,max_seq_len_4096,batch_size_32,11.407947845353918
mugi,none,256x8,max_seq_len_512,batch_size_1,4.0061521555468795
mugi,none,256x8,max_seq_len_512,batch_size_2,7.983087765059617
mugi,none,256x8,max_seq_len_512,batch_size_4,15.850508977072419
mugi,none,256x8,max_seq_len_512,batch_size_8,31.24777367116085
mugi,none,256x8,max_seq_len_512,batch_size_16,31.24777389704417
mugi,none,256x8,max_seq_len_512,batch_size_32,31.2477740099858
mugi,none,256x8,max_seq_len_2048,batch_size_1,3.9831249102499244
mugi,none,256x8,max_seq_len_2048,batch_size_2,7.7708193246926545
mugi,none,256x8,max_seq_len_2048,batch_size_4,14.815756582838477
mugi,none,256x8,max_seq_len_2048,batch_size_8,27.105257812648347
mugi,none,256x8,max_seq_len_2048,batch_size_16,27.105258666952952
mugi,none,256x8,max_seq_len_2048,batch_size_32,27.10525909410524
mugi,none,256x8,max_seq_len_4096,batch_size_1,3.9209121051824214
mugi,none,256x8,max_seq_len_4096,batch_size_2,7.219901129813637
mugi,none,256x8,max_seq_len_4096,batch_size_4,12.474726175868152
mugi,none,256x8,max_seq_len_4096,batch_size_8,19.64615077715764
mugi,none,256x8,max_seq_len_4096,batch_size_16,19.646151976217094
