arch,subarch,arch_dim,fifo,pe,tc,value_reuse,accumulator,nonlinear,vector,total
mugi,,128x8,30.026036161509676,2.9528137175134295,0.3214158691027363,1.388884094837479,19.480521104955788,1.1801627939802324,1.1367250330270569,56.4865587749264
mugi,,256x8,51.77994052174627,5.825425502489754,0.5996446098930514,1.6145783738863149,34.81008132230291,2.356537678578118,2.1547922839096945,99.14100029280613
carat,,128x8,38.54811818099177,3.621878768272986,0.9449060049717729,1.7985153558032774,21.370312607779876,0.0,14.456696785871038,80.74042770369073
carat,,256x8,90.71638215883587,7.087502108798547,1.764495387597917,2.1948581473817006,37.14215170692584,0.0,28.897021657367908,167.80241116690777
systolic,figna,8x8,2.837206265320635,27.110754645726562,0.0,0.0,10.492403112741467,0.0,1.0978484609045327,41.53821248469319
systolic,figna,16x16,6.916973648735624,76.30063187883538,0.0,0.0,27.42088819132528,0.0,2.180870283482619,112.81936400237889
simd,figna,8x8,2.837206265320635,25.03369116005428,0.0,0.0,9.32658054465908,0.0,1.106457445366743,38.30393541540074
simd,figna,16x16,6.916973648735624,70.95646349646542,0.0,0.0,25.807894768306145,0.0,2.2132415076926395,105.89457342119982
