Kode,code1,code2,code4,code5,Tekst5,Tekst1,Tekst2
0,0,0,0,0,Uoplyst,Uoplyst,Uoplyst straffelov
1000000,1,10,1000,00000,Uoplyst straffelov,Straffelov i alt,Uoplyst straffelov
1000100,1,10,1000,00100,"Opholdsforbud ved dom, registrering af",Straffelov i alt,Uoplyst straffelov
1000200,1,10,1000,00200,"Opholdsforbud jf. straffeloven § 79 b, registrering af",Straffelov i alt,Uoplyst straffelov
1000300,1,10,1000,00300,"Kontaktforbud jf. straffeloven § 79 b, registrering af",Straffelov i alt,Uoplyst straffelov
1000400,1,10,1000,00400,"Opholds- og kontaktforbud jf. straffeloven § 79 b, registrering af",Straffelov i alt,Uoplyst straffelov
1000500,1,10,1000,00500,"Tavshedspligt jf. straffeloven § 79 b, overtrædelse",Straffelov i alt,Uoplyst straffelov
1110505,1,11,1110,10505,"Blodskam, børn under 15 år",Straffelov i alt,Seksual forbrydelser
1110510,1,11,1110,10510,Blodskam i øvrigt,Straffelov i alt,Seksual forbrydelser
1110515,1,11,1110,10515,Samleje med plejebarn/stedbarn mv.,Straffelov i alt,Seksual forbrydelser
1110516,1,11,1110,10516,Samleje med plejebarn/stedbarn mv.,Straffelov i alt,Seksual forbrydelser
1110520,1,11,1110,10520,Anden kønslig omgang med plejebarn/stedbarn,Straffelov i alt,Seksual forbrydelser
1110521,1,11,1110,10521,Andet seksuelt forhold med plejebarn/stedbarn mv.,Straffelov i alt,Seksual forbrydelser
1110525,1,11,1110,10525,"Blodskam, anden kønslig omgang, børn under 15 år",Straffelov i alt,Seksual forbrydelser
1110526,1,11,1110,10526,"Blodskam, andet seksuelt forhold (børn under 15 år)",Straffelov i alt,Seksual forbrydelser
1110530,1,11,1110,10530,"Blodskam, anden kønslig omgang mellem søskende",Straffelov i alt,Seksual forbrydelser
1110531,1,11,1110,10531,"Blodskam, andet seksuelt forhold mellem søskende",Straffelov i alt,Seksual forbrydelser
1110535,1,11,1110,10535,"Blodskam i øvrigt, anden kønslig omgang",Straffelov i alt,Seksual forbrydelser
1110536,1,11,1110,10536,"Blodskam i øvrigt, andet seksuelt forhold",Straffelov i alt,Seksual forbrydelser
1110540,1,11,1110,10540,"Blodskam mellem søskende, børn under 15 år",Straffelov i alt,Seksual forbrydelser
1110545,1,11,1110,10545,"Blodskam i øvrigt, mellem søskende",Straffelov i alt,Seksual forbrydelser
1120504,1,11,1120,20504,Voldtægt,Straffelov i alt,Seksual forbrydelser
1120505,1,11,1120,20505,Voldtægt,Straffelov i alt,Seksual forbrydelser
1120506,1,11,1120,20506,Voldtægt ved anvendelse af vold eller trussel om vold,Straffelov i alt,Seksual forbrydelser
1120510,1,11,1120,20510,Samleje med ulovlig tvang,Straffelov i alt,Seksual forbrydelser
1120511,1,11,1120,20511,Voldtægt ved ulovlig tvang,Straffelov i alt,Seksual forbrydelser
1120515,1,11,1120,20515,Tilsnigelse til samleje,Straffelov i alt,Seksual forbrydelser
1120516,1,11,1120,20516,Tilsnigelse til samleje,Straffelov i alt,Seksual forbrydelser
1120519,1,11,1120,20519,Andet seksuelt forhold,Straffelov i alt,Seksual forbrydelser
1120520,1,11,1120,20520,Anden kønslig omgang ved vold,Straffelov i alt,Seksual forbrydelser
1120521,1,11,1120,20521,Andet seksuelt forhold ved vold eller trussel om vold,Straffelov i alt,Seksual forbrydelser
1120525,1,11,1120,20525,Anden kønslig omgang ved ulovlig tvang,Straffelov i alt,Seksual forbrydelser
1120526,1,11,1120,20526,Andet seksuelt forhold ved ulovlig tvang,Straffelov i alt,Seksual forbrydelser
1120530,1,11,1120,20530,Anden kønslig omgang ved tilsnigelse,Straffelov i alt,Seksual forbrydelser
1120531,1,11,1120,20531,Andet seksuelt forhold ved tilsnigelse,Straffelov i alt,Seksual forbrydelser
1130505,1,11,1130,30505,"Samleje med barn under 12 år, skærpende omstændigheder",Straffelov i alt,Seksual forbrydelser
1130510,1,11,1130,30510,Anden kønslig omgang med barn under 12 år,Straffelov i alt,Seksual forbrydelser
1130515,1,11,1130,30515,Uagtsom seksualforbrydelse med barn under 12 år,Straffelov i alt,Seksual forbrydelser
1131505,1,11,1131,31505,Voldtægt ved samleje med barn under 12 år,Straffelov i alt,Seksual forbrydelser
1131510,1,11,1131,31510,Andet seksuelt forhold med barn under 12 år,Straffelov i alt,Seksual forbrydelser
1140505,1,11,1140,40505,Samleje ved udnyttelse af psykisk abnormitet,Straffelov i alt,Seksual forbrydelser
1140507,1,11,1140,40507,Samleje ved udnyttelse af hjælpeløs tilstand,Straffelov i alt,Seksual forbrydelser
1140510,1,11,1140,40510,Samleje med institutionsanbragt,Straffelov i alt,Seksual forbrydelser
1140515,1,11,1140,40515,Samleje ved misbrug af afhængigheds forhold,Straffelov i alt,Seksual forbrydelser
1140520,1,11,1140,40520,Samleje med barn under 15 år,Straffelov i alt,Seksual forbrydelser
