Kode,code1,code2,code4,code5,Tekst5,Tekst1,Tekst2
1140525,1,11,1140,40525,Samleje ved forførelse,Straffelov i alt,Seksual forbrydelser
1140530,1,11,1140,40530,Anden kønslig omgang ved udnyttelse af psykisk abnormitet,Straffelov i alt,Seksual forbrydelser
1140535,1,11,1140,40535,Anden kønslig omgang med institutionsanbragt,Straffelov i alt,Seksual forbrydelser
1140540,1,11,1140,40540,Anden kønslig omgang ved misbrug af afhængighedsforhold,Straffelov i alt,Seksual forbrydelser
1140545,1,11,1140,40545,Anden kønslig omgang med barn under 15 år,Straffelov i alt,Seksual forbrydelser
1140550,1,11,1140,40550,Anden kønslig omgang ved forførelse,Straffelov i alt,Seksual forbrydelser
1140555,1,11,1140,40555,Uagtsom seksualforbrydelse med barn under 15 år,Straffelov i alt,Seksual forbrydelser
1140560,1,11,1140,40560,Uagtsom seksualforbrydelse i øvrigt,Straffelov i alt,Seksual forbrydelser
1140565,1,11,1140,40565,"Samleje med prostitueret under 18 år, kunde",Straffelov i alt,Seksual forbrydelser
1141505,1,11,1141,41505,Samleje med barn under 15 år,Straffelov i alt,Seksual forbrydelser
1141510,1,11,1141,41510,Andet seksuelt forhold med barn under 15 år,Straffelov i alt,Seksual forbrydelser
1141515,1,11,1141,41515,Uagtsom seksualforbrydelse mod barn under 15 år,Straffelov i alt,Seksual forbrydelser
1145505,1,11,1145,45505,Samleje ved udnyttelse af psykisk abnormitet,Straffelov i alt,Seksual forbrydelser
1145510,1,11,1145,45510,Voldtægt ved udnyttelse af hjælpeløs tilstand,Straffelov i alt,Seksual forbrydelser
1145515,1,11,1145,45515,Andet seksuelt forhold ved udnyttelse af hjælpeløs tilstand,Straffelov i alt,Seksual forbrydelser
1145520,1,11,1145,45520,Samleje med institutionsanbragt/frihedsberøvet,Straffelov i alt,Seksual forbrydelser
1145525,1,11,1145,45525,Samleje ved misbrug af afhængighedsforhold,Straffelov i alt,Seksual forbrydelser
1145530,1,11,1145,45530,Samleje ved forførelse,Straffelov i alt,Seksual forbrydelser
1145535,1,11,1145,45535,Andet seksuelt forhold ved udnyttelse af psykisk abnormitet,Straffelov i alt,Seksual forbrydelser
1145540,1,11,1145,45540,Andet seksuelt forhold med institutionsanbragt/frihedsberøvet,Straffelov i alt,Seksual forbrydelser
1145545,1,11,1145,45545,Andet seksuelt forhold ved misbrug af afhængighedsforhold,Straffelov i alt,Seksual forbrydelser
1145550,1,11,1145,45550,Andet seksuelt forhold ved forførelse,Straffelov i alt,Seksual forbrydelser
1145555,1,11,1145,45555,Uagtsom seksualforbrydelse i øvrigt,Straffelov i alt,Seksual forbrydelser
1145560,1,11,1145,45560,Samleje med prostitueret under 18 år - kunde,Straffelov i alt,Seksual forbrydelser
1145565,1,11,1145,45565,Medvirken til prostitution (samleje) - person under 18 år,Straffelov i alt,Seksual forbrydelser
1145570,1,11,1145,45570,Medvirken til andet seksuelt forhold i forbindelse med prostitution af person under 18 år,Straffelov i alt,Seksual forbrydelser
1145575,1,11,1145,45575,Andet seksuelt forhold end samleje med prostitueret under 18 år - kunde,Straffelov i alt,Seksual forbrydelser
1150505,1,11,1150,50505,Homoseksuel sædelighedsforbrydelse mod barn under 12 år,Straffelov i alt,Seksual forbrydelser
1150510,1,11,1150,50510,Homoseksuel sædelighedsforbrydelse ved vold mod barn under 12 år,Straffelov i alt,Seksual forbrydelser
1150515,1,11,1150,50515,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang mod barn under 12 år,Straffelov i alt,Seksual forbrydelser
1160505,1,11,1160,60505,Homoseksuel sædelighedsforbrydelse mod barn under 15 år,Straffelov i alt,Seksual forbrydelser
1160510,1,11,1160,60510,Homoseksuel sædelighedsforbrydelse i øvrigt,Straffelov i alt,Seksual forbrydelser
1160515,1,11,1160,60515,Homoseksuel sædelighedsforbrydelse ved vold,Straffelov i alt,Seksual forbrydelser
1160520,1,11,1160,60520,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang,Straffelov i alt,Seksual forbrydelser
1160525,1,11,1160,60525,Homoseksuel sædelighedsforbrydelse ved vold mod barn under 15 år,Straffelov i alt,Seksual forbrydelser
1160530,1,11,1160,60530,Homoseksuel sædelighedsforbrydelse ved ulovlig tvang mod barn under 15 år,Straffelov i alt,Seksual forbrydelser
1172005,1,11,1172,72005,Blufærdighedskrænkelse ved beføling,Straffelov i alt,Seksual forbrydelser
1172010,1,11,1172,72010,Blufærdighedskrænkelse ved beføling,Straffelov i alt,Seksual forbrydelser
1174005,1,11,1174,74005,Blufærdighedskrænkelse ved blotteri,Straffelov i alt,Seksual forbrydelser
1174010,1,11,1174,74010,Blufærdighedskrænkelse ved blotteri,Straffelov i alt,Seksual forbrydelser
1176005,1,11,1176,76005,Blufærdighedskrænkelse ved beluring,Straffelov i alt,Seksual forbrydelser
1176010,1,11,1176,76010,Blufærdighedskrænkelse ved beluring,Straffelov i alt,Seksual forbrydelser
1176205,1,11,1176,76205,Blufærdighedskrænkelse (udgået 1986),Straffelov i alt,Seksual forbrydelser
1176405,1,11,1176,76405,Blufærdighedskrænkelse ved verbal uterlighed o.l.,Straffelov i alt,Seksual forbrydelser
1176410,1,11,1176,76410,Blufærdighedskrænkelse ved verbal uanstændighed ol.,Straffelov i alt,Seksual forbrydelser
1176605,1,11,1176,76605,Blufærdighedskrænkelse ved anden uterlighed,Straffelov i alt,Seksual forbrydelser
1176610,1,11,1176,76610,Blufærdighedskrænkelse ved anden uanstændighed,Straffelov i alt,Seksual forbrydelser
1176805,1,11,1176,76805,Blufærdighedskrænkelse i øvrigt,Straffelov i alt,Seksual forbrydelser
1180505,1,11,1180,80505,Rufferi,Straffelov i alt,Seksual forbrydelser
1180506,1,11,1180,80506,Rufferi,Straffelov i alt,Seksual forbrydelser
1180510,1,11,1180,80510,Fremmelse af utugt,Straffelov i alt,Seksual forbrydelser
1180511,1,11,1180,80511,Fremmelse af prostitution,Straffelov i alt,Seksual forbrydelser
1180515,1,11,1180,80515,Udlejning af værelse til utugt,Straffelov i alt,Seksual forbrydelser
1180516,1,11,1180,80516,Udlejning af værelse til prostitution,Straffelov i alt,Seksual forbrydelser
1180520,1,11,1180,80520,"Alfonseri, underhold",Straffelov i alt,Seksual forbrydelser
1180525,1,11,1180,80525,"Alfonseri, dele bolig",Straffelov i alt,Seksual forbrydelser
1180530,1,11,1180,80530,Forulemper ved opfordring mv. til utugt,Straffelov i alt,Seksual forbrydelser
1180531,1,11,1180,80531,Svigagtig eller anden utilbørlig fremmelse af prostitution,Straffelov i alt,Seksual forbrydelser
1180535,1,11,1180,80535,Pornografi,Straffelov i alt,Seksual forbrydelser
1180536,1,11,1180,80536,"Pornografi, salg til personer under 16 år",Straffelov i alt,Seksual forbrydelser
1180540,1,11,1180,80540,Børnepornografi,Straffelov i alt,Seksual forbrydelser
1180541,1,11,1180,80541,Rekruttere/medvirke til utugtig optræden af personer under 18 år,Straffelov i alt,Seksual forbrydelser
1180542,1,11,1180,80542,Overvære utugtig optræden af personer under 18 år,Straffelov i alt,Seksual forbrydelser
1180543,1,11,1180,80543,Overvære pornografisk optræden af person under 18 år,Straffelov i alt,Seksual forbrydelser
1180544,1,11,1180,80544,Børnepornografi,Straffelov i alt,Seksual forbrydelser
1180545,1,11,1180,80545,"Børnepornografi, besiddelse af/bekendt med",Straffelov i alt,Seksual forbrydelser
1180546,1,11,1180,80546,"Børnepornografi, besiddelse af/bekendt med",Straffelov i alt,Seksual forbrydelser
1180547,1,11,1180,80547,Medvirken til pornografisk optræden af person under 18 år,Straffelov i alt,Seksual forbrydelser
1180550,1,11,1180,80550,Utugtig foto/filmoptagelse af person under 18 år,Straffelov i alt,Seksual forbrydelser
1180551,1,11,1180,80551,Pornografiske foto/filmoptagelser af person under 18 år,Straffelov i alt,Seksual forbrydelser
1180605,1,11,1180,80605,Overtrædelse af pålæg,Straffelov i alt,Seksual forbrydelser
1180606,1,11,1180,80606,Meddelt forbud efter straffelovens §236,Straffelov i alt,Seksual forbrydelser
1180705,1,11,1180,80705,Meddelt pålæg,Straffelov i alt,Seksual forbrydelser
1180706,1,11,1180,80706,Overtrædelse af forbud efter straffelovens §236,Straffelov i alt,Seksual forbrydelser
1210501,1,12,1210,10501,Vold eller trussel mod polititjenestemand,Straffelov i alt,Voldsforbrydelser
1210502,1,12,1210,10502,Lægge hindringer i vejen for udførelse (polititjenestemand),Straffelov i alt,Voldsforbrydelser
1210503,1,12,1210,10503,Trusler om vold mv. mod overordnet polititjenestemand,Straffelov i alt,Voldsforbrydelser
1210504,1,12,1210,10504,Lægge hindring i vejen for udførelse (polititjenestemand),Straffelov i alt,Voldsforbrydelser
1210505,1,12,1210,10505,Vold o.l. mod nogen i offentlig tjeneste mv. (Forekommer første gang i 1980),Straffelov i alt,Voldsforbrydelser
1210506,1,12,1210,10506,Vold mod polititjenestemand,Straffelov i alt,Voldsforbrydelser
1210507,1,12,1210,10507,Trussel mod polititjenestemand,Straffelov i alt,Voldsforbrydelser
1210508,1,12,1210,10508,Vold mod nogen i offentlig tjeneste,Straffelov i alt,Voldsforbrydelser
1210509,1,12,1210,10509,Trussel om vold mod nogen i offentlig tjeneste,Straffelov i alt,Voldsforbrydelser
1210510,1,12,1210,10510,Trusler om vold mv. mod offentlig myndighed,Straffelov i alt,Voldsforbrydelser
1210515,1,12,1210,10515,Hindring af offentlig myndighed,Straffelov i alt,Voldsforbrydelser
1210516,1,12,1210,10516,"Lægge hindring i vejen for udførelsen af offentlig myndighed, skærpende omstændigheder",Straffelov i alt,Voldsforbrydelser
1210517,1,12,1210,10517,Lægge hindring i vejen for udførelse af offentlig myndighed,Straffelov i alt,Voldsforbrydelser
1210518,1,12,1210,10518,"Lægge hindring i vejen for udførelse af offentlig myndighed, skærpende",Straffelov i alt,Voldsforbrydelser
1210520,1,12,1210,10520,Fredskrænkelse af person i offentlig tjeneste,Straffelov i alt,Voldsforbrydelser
1210525,1,12,1210,10525,Angreb med genstande mod nogen i offentlig tjeneste,Straffelov i alt,Voldsforbrydelser
1210705,1,12,1210,10705,Vold mod politi mv. ved opløb/opstand,Straffelov i alt,Voldsforbrydelser
1220505,1,12,1220,20505,Ledelse og fremkaldelse af opløb,Straffelov i alt,Voldsforbrydelser
1220510,1,12,1220,20510,Grov forstyrrelse af offentlig ro og orden,Straffelov i alt,Voldsforbrydelser
1220515,1,12,1220,20515,"Maskering, forbud mod",Straffelov i alt,Voldsforbrydelser
1220520,1,12,1220,20520,"Tildækningsforbud, overtrædelse af",Straffelov i alt,Voldsforbrydelser
1230505,1,12,1230,30505,Manddrab,Straffelov i alt,Voldsforbrydelser
1230705,1,12,1230,30705,Barnedrab,Straffelov i alt,Voldsforbrydelser
1240505,1,12,1240,40505,Forsøg på manddrab,Straffelov i alt,Voldsforbrydelser
1250505,1,12,1250,50505,Psykisk vold,Straffelov i alt,Voldsforbrydelser
1252505,1,12,1252,52505,Simpel vold,Straffelov i alt,Voldsforbrydelser
1255305,1,12,1255,55305,Alvorligere vold,Straffelov i alt,Voldsforbrydelser
1255705,1,12,1255,55705,Vold med skade på legeme eller helbred,Straffelov i alt,Voldsforbrydelser
1255710,1,12,1255,55710,Vold ved kvindelig omskæring,Straffelov i alt,Voldsforbrydelser
1258305,1,12,1258,58305,Særlig alvorlig vold,Straffelov i alt,Voldsforbrydelser
1258705,1,12,1258,58705,Særlig alvorlig vold med døden til følge,Straffelov i alt,Voldsforbrydelser
1260505,1,12,1260,60505,Vold mod sagesløs,Straffelov i alt,Voldsforbrydelser
1270305,1,12,1270,70305,Legemskrænkelse,Straffelov i alt,Voldsforbrydelser
1270505,1,12,1270,70505,Vold af særlig farlig karakter,Straffelov i alt,Voldsforbrydelser
1270705,1,12,1270,70705,Vold med skade på legeme eller helbred,Straffelov i alt,Voldsforbrydelser
1280305,1,12,1280,80305,Legemsbeskadigelse,Straffelov i alt,Voldsforbrydelser
1280505,1,12,1280,80505,Legemsbeskadigelse med død til følge mv.,Straffelov i alt,Voldsforbrydelser
1280510,1,12,1280,80510,Legemsbeskadigelse med grov skade til følge,Straffelov i alt,Voldsforbrydelser
1280705,1,12,1280,80705,Grov legemsbeskadigelse,Straffelov i alt,Voldsforbrydelser
1283305,1,12,1283,83305,Uagtsomt manddrab,Straffelov i alt,Voldsforbrydelser
1283505,1,12,1283,83505,Uagtsom legemsbeskadigelse,Straffelov i alt,Voldsforbrydelser
1283705,1,12,1283,83705,Uagtsom grov legemsbeskadigelse,Straffelov i alt,Voldsforbrydelser
1283805,1,12,1283,83805,Uagtsom betydelig legemsbeskadigelse,Straffelov i alt,Voldsforbrydelser
1286505,1,12,1286,86505,Drab efter begæring,Straffelov i alt,Voldsforbrydelser
1286510,1,12,1286,86510,Medvirken til selvmord,Straffelov i alt,Voldsforbrydelser
1286515,1,12,1286,86515,Hensættelse i hjælpeløs tilstand,Straffelov i alt,Voldsforbrydelser
1286520,1,12,1286,86520,Uforsvarlig omgang ved barnefødsel,Straffelov i alt,Voldsforbrydelser
1286525,1,12,1286,86525,Forvoldt fare for liv eller førlighed,Straffelov i alt,Voldsforbrydelser
1286530,1,12,1286,86530,Undladt at hjælpe en person i livsfare,Straffelov i alt,Voldsforbrydelser
1286535,1,12,1286,86535,Undladt at hjælpe en person ved ulykke,Straffelov i alt,Voldsforbrydelser
1286537,1,12,1286,86537,Undladt at hjælpe/flugt fra færdselsuheld,Straffelov i alt,Voldsforbrydelser
1286540,1,12,1286,86540,Overladelse af våben eller sprængstof,Straffelov i alt,Voldsforbrydelser
1286545,1,12,1286,86545,Undladt at hjælpe gravid kvinde,Straffelov i alt,Voldsforbrydelser
1289505,1,12,1289,89505,Ulovlig tvang,Straffelov i alt,Voldsforbrydelser
1289705,1,12,1289,89705,Frihedsberøvelse,Straffelov i alt,Voldsforbrydelser
1289710,1,12,1289,89710,Kvalificeret frihedsberøvelse,Straffelov i alt,Voldsforbrydelser
1289713,1,12,1289,89713,"Frihedsberøvelse, grov uagtsomhed",Straffelov i alt,Voldsforbrydelser
1289715,1,12,1289,89715,Uagtsom frihedsberøvelse,Straffelov i alt,Voldsforbrydelser
1289720,1,12,1289,89720,Menneskehandel,Straffelov i alt,Voldsforbrydelser
1292505,1,12,1292,92505,Trussel på livet,Straffelov i alt,Voldsforbrydelser
1292510,1,12,1292,92510,Bombetrusler/telefonbomber,Straffelov i alt,Voldsforbrydelser
1292515,1,12,1292,92515,Offentlig trussel om voldshandling,Straffelov i alt,Voldsforbrydelser
1292520,1,12,1292,92520,"Trusler, vold o.l. mod vidner og deres nærmeste (Forekommer første gang 1992)",Straffelov i alt,Voldsforbrydelser
1292525,1,12,1292,92525,Trusler og lignende mod vidner og deres nærmeste,Straffelov i alt,Voldsforbrydelser
1292530,1,12,1292,92530,Vold mod vidner og deres nærmeste,Straffelov i alt,Voldsforbrydelser
1304505,1,13,1304,04505,Dokumentfalsk,Straffelov i alt,Ejendomsforbrydelser
1304705,1,13,1304,04705,Dokumentfalsk ved anvendelse af dankort,Straffelov i alt,Ejendomsforbrydelser
1304805,1,13,1304,04805,Dokumentfalsk ved anvendelse af øvrige kontokort,Straffelov i alt,Ejendomsforbrydelser
1308505,1,13,1308,08505,Dokumentfalsk ved anvendelse af check,Straffelov i alt,Ejendomsforbrydelser
1308510,1,13,1308,08510,Dokumentfalsk ved anvendelse af eurochecks,Straffelov i alt,Ejendomsforbrydelser
1312505,1,13,1312,12505,"Brandstiftelse, kvalificeret",Straffelov i alt,Ejendomsforbrydelser
1312510,1,13,1312,12510,"Brandstiftelse, forsætlig",Straffelov i alt,Ejendomsforbrydelser
1312705,1,13,1312,12705,"Brandstiftelse, uagtsom",Straffelov i alt,Ejendomsforbrydelser
1316105,1,13,1316,16105,Indbrud i kommune-/sygesikringskontor,Straffelov i alt,Ejendomsforbrydelser
1316110,1,13,1316,16110,Indbrud i posthus/postkontor,Straffelov i alt,Ejendomsforbrydelser
1316205,1,13,1316,16205,Indbrud i bibliotek,Straffelov i alt,Ejendomsforbrydelser
1316210,1,13,1316,16210,Indbrud i børnehave/vuggestue/fritidshjem,Straffelov i alt,Ejendomsforbrydelser
1316215,1,13,1316,16215,Indbrud i skole,Straffelov i alt,Ejendomsforbrydelser
1316220,1,13,1316,16220,Indbrud i kirke/museum,Straffelov i alt,Ejendomsforbrydelser
1316225,1,13,1316,16225,Indbrud i svømmehal/idrætsanlæg o.l.,Straffelov i alt,Ejendomsforbrydelser
1316230,1,13,1316,16230,Indbrud i institution/plejehjem,Straffelov i alt,Ejendomsforbrydelser
1316235,1,13,1316,16235,Indbrud i offentligt kontor/bygning i øvrigt,Straffelov i alt,Ejendomsforbrydelser
1316240,1,13,1316,16240,Indbrud i kaserne (våben/ammunition),Straffelov i alt,Ejendomsforbrydelser
1316305,1,13,1316,16305,Indbrud i bankiers/vekselerer o.l.,Straffelov i alt,Ejendomsforbrydelser
1316310,1,13,1316,16310,Indbrud i biograf/teater,Straffelov i alt,Ejendomsforbrydelser
1316315,1,13,1316,16315,Indbrud i campingplads/vandrerhjem,Straffelov i alt,Ejendomsforbrydelser
1316320,1,13,1316,16320,Indbrud i tankstation/autohandler,Straffelov i alt,Ejendomsforbrydelser
1316325,1,13,1316,16325,Indbrud i privat institution,Straffelov i alt,Ejendomsforbrydelser
1316330,1,13,1316,16330,Indbrud i beboerklubber,Straffelov i alt,Ejendomsforbrydelser
1316335,1,13,1316,16335,Indbrud i privat kontor i øvrigt,Straffelov i alt,Ejendomsforbrydelser
1316340,1,13,1316,16340,Indbrud i selskabslokaler,Straffelov i alt,Ejendomsforbrydelser
1316405,1,13,1316,16405,Indbrud i pengeinstitut,Straffelov i alt,Ejendomsforbrydelser
1316504,1,13,1316,16504,Indbrud i sportsforretning,Straffelov i alt,Ejendomsforbrydelser
1316505,1,13,1316,16505,Indbrud i beklædnings-/skind-/fodtøjsforretning,Straffelov i alt,Ejendomsforbrydelser
1316510,1,13,1316,16510,Indbrud i kiosk/cigar-/vinhandel,Straffelov i alt,Ejendomsforbrydelser
1316515,1,13,1316,16515,Indbrud i købmand/supermarked/mejeri,Straffelov i alt,Ejendomsforbrydelser
1316520,1,13,1316,16520,Indbrud i radio-/fotoforretning,Straffelov i alt,Ejendomsforbrydelser
1316525,1,13,1316,16525,Indbrud i urmager/guldsmed,Straffelov i alt,Ejendomsforbrydelser
1316530,1,13,1316,16530,Indbrud i cafeteria/restaurant,Straffelov i alt,Ejendomsforbrydelser
1316535,1,13,1316,16535,Indbrud i hotel/motel,Straffelov i alt,Ejendomsforbrydelser
1316536,1,13,1316,16536,Indbrud i EDB-forretning,Straffelov i alt,Ejendomsforbrydelser
1316537,1,13,1316,16537,Indbrud i optikerforretning,Straffelov i alt,Ejendomsforbrydelser
1316540,1,13,1316,16540,Indbrud i forretning i øvrigt,Straffelov i alt,Ejendomsforbrydelser
1316545,1,13,1316,16545,Indbrud i våbenlager/-fabrik/-forretning,Straffelov i alt,Ejendomsforbrydelser
1316605,1,13,1316,16605,Indbrud i fabrik,Straffelov i alt,Ejendomsforbrydelser
1316610,1,13,1316,16610,Indbrud i lager o.l.,Straffelov i alt,Ejendomsforbrydelser
1316615,1,13,1316,16615,Indbrud i værksted,Straffelov i alt,Ejendomsforbrydelser
1316620,1,13,1316,16620,Indbrud i tømmerhandel/byggemarked,Straffelov i alt,Ejendomsforbrydelser
1316621,1,13,1316,16621,Indbrud i EDB-virksomhed,Straffelov i alt,Ejendomsforbrydelser
1316625,1,13,1316,16625,Indbrud i virksomhed i øvrigt,Straffelov i alt,Ejendomsforbrydelser
1316705,1,13,1316,16705,Indbrud i apotek,Straffelov i alt,Ejendomsforbrydelser
1316710,1,13,1316,16710,Indbrud i hospital,Straffelov i alt,Ejendomsforbrydelser
1316715,1,13,1316,16715,Indbrud i lægekonsultation o.l.,Straffelov i alt,Ejendomsforbrydelser
1316805,1,13,1316,16805,Pengeskabstyveri ved skærebrænder,Straffelov i alt,Ejendomsforbrydelser
1316810,1,13,1316,16810,Pengeskabstyveri ved sprængstof,Straffelov i alt,Ejendomsforbrydelser
1316815,1,13,1316,16815,Pengeskabstyveri ved vinkelslibere,Straffelov i alt,Ejendomsforbrydelser
1316820,1,13,1316,16820,Pengeskabstyveri,Straffelov i alt,Ejendomsforbrydelser
1316905,1,13,1316,16905,Indbrud i øvrigt,Straffelov i alt,Ejendomsforbrydelser
1320505,1,13,1320,20505,Indbrud i villa o.l.,Straffelov i alt,Ejendomsforbrydelser
1320510,1,13,1320,20510,Indbrud i landejendom,Straffelov i alt,Ejendomsforbrydelser
1320705,1,13,1320,20705,Indbrud i lejlighed,Straffelov i alt,Ejendomsforbrydelser
1320710,1,13,1320,20710,Indbrud i værelse,Straffelov i alt,Ejendomsforbrydelser
1324305,1,13,1324,24305,Indbrud i skib/båd (fast bemandede),Straffelov i alt,Ejendomsforbrydelser
1324310,1,13,1324,24310,Indbrud i nybygning/prøvehus,Straffelov i alt,Ejendomsforbrydelser
1324315,1,13,1324,24315,Indbrud i skib/båd (lystbåde),Straffelov i alt,Ejendomsforbrydelser
1324505,1,13,1324,24505,Indbrud i fritidshus,Straffelov i alt,Ejendomsforbrydelser
1324510,1,13,1324,24510,Indbrud i kolonihavehus,Straffelov i alt,Ejendomsforbrydelser
1324705,1,13,1324,24705,Indbrud i garage/udhus,Straffelov i alt,Ejendomsforbrydelser
1324710,1,13,1324,24710,Indbrud i kælder-/lofts-/pulterrum,Straffelov i alt,Ejendomsforbrydelser
1324715,1,13,1324,24715,Indbrud i campingvogn,Straffelov i alt,Ejendomsforbrydelser
1324720,1,13,1324,24720,Indbrud i arbejdsskur/kontorvogn o.l.,Straffelov i alt,Ejendomsforbrydelser
1324725,1,13,1324,24725,Indbrud i isbod/pølsebod,Straffelov i alt,Ejendomsforbrydelser
1328505,1,13,1328,28505,Tyveri fra personbil,Straffelov i alt,Ejendomsforbrydelser
1328510,1,13,1328,28510,Tyveri fra lastbil/varebil,Straffelov i alt,Ejendomsforbrydelser
1328705,1,13,1328,28705,Tyveri fra motorcykel/scooter,Straffelov i alt,Ejendomsforbrydelser
1328710,1,13,1328,28710,Tyveri fra knallert,Straffelov i alt,Ejendomsforbrydelser
1328715,1,13,1328,28715,Tyveri fra cykel,Straffelov i alt,Ejendomsforbrydelser
1328720,1,13,1328,28720,Tyveri fra både,Straffelov i alt,Ejendomsforbrydelser
1328725,1,13,1328,28725,Tyveri fra andet køretøj,Straffelov i alt,Ejendomsforbrydelser
1332305,1,13,1332,32305,Tyveri fra automat i møntvaskeri etc.,Straffelov i alt,Ejendomsforbrydelser
1332310,1,13,1332,32310,Tyveri fra benzinautomat,Straffelov i alt,Ejendomsforbrydelser
1332315,1,13,1332,32315,Tyveri fra frimærkeautomat,Straffelov i alt,Ejendomsforbrydelser
1332320,1,13,1332,32320,Tyveri fra vareautomat,Straffelov i alt,Ejendomsforbrydelser
