All Layout Regions (270 found)
==================================================
YOLO: 1, TATR: 269, Other: 0

## Collection Inspection (270 elements)

### Table Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 4 | 50 | 776 | 521 | table |
| 10 | 107 | 772 | 506 | table |
| 11 | 120 | 769 | 503 | table |

### Table Row Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 11 | 119 | 769 | 151 | table row |
| 11 | 151 | 769 | 187 | table row |
| 11 | 188 | 769 | 228 | table row |
| 11 | 227 | 769 | 268 | table row |
| 10 | 268 | 769 | 309 | table row |
| 11 | 310 | 769 | 352 | table row |
| 11 | 352 | 769 | 394 | table row |
| 11 | 394 | 769 | 434 | table row |
| 11 | 434 | 769 | 476 | table row |
| 11 | 476 | 769 | 503 | table row |

### Table Column Header Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 11 | 120 | 769 | 187 | table column header |

### Table Spanning Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 11 | 120 | 73 | 187 | table spanning cell |
| 558 | 120 | 740 | 187 | table spanning cell |
| 747 | 120 | 769 | 187 | table spanning cell |
| 71 | 120 | 558 | 149 | table spanning cell |

### Table Column Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 748 | 120 | 769 | 503 | table column |
| 455 | 120 | 505 | 503 | table column |
| 11 | 120 | 73 | 503 | table column |
| 503 | 120 | 555 | 503 | table column |
| 252 | 120 | 298 | 503 | table column |
| 74 | 120 | 130 | 503 | table column |
| 186 | 120 | 252 | 503 | table column |
| 407 | 120 | 456 | 503 | table column |
| 130 | 120 | 186 | 503 | table column |
| 298 | 121 | 353 | 503 | table column |
| 354 | 121 | 406 | 503 | table column |
| 555 | 121 | 749 | 503 | table column |

### Table-Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 748 | 120 | 769 | 151 | table-cell |
| 748 | 120 | 769 | 151 | table-cell |
| 455 | 120 | 505 | 151 | table-cell |
| 455 | 120 | 505 | 151 | table-cell |
| 11 | 120 | 73 | 151 | table-cell |
| 11 | 120 | 73 | 151 | table-cell |
| 503 | 120 | 555 | 151 | table-cell |
| 503 | 120 | 555 | 151 | table-cell |
| 252 | 120 | 298 | 151 | table-cell |
| 252 | 120 | 298 | 151 | table-cell |
| 74 | 120 | 130 | 151 | table-cell |
| 74 | 120 | 130 | 151 | table-cell |
| 186 | 120 | 252 | 151 | table-cell |
| 186 | 120 | 252 | 151 | table-cell |
| 407 | 120 | 456 | 151 | table-cell |
| 407 | 120 | 456 | 151 | table-cell |
| 130 | 120 | 186 | 151 | table-cell |
| 130 | 120 | 186 | 151 | table-cell |
| 298 | 121 | 353 | 151 | table-cell |
| 298 | 121 | 353 | 151 | table-cell |
| 354 | 121 | 406 | 151 | table-cell |
| 354 | 121 | 406 | 151 | table-cell |
| 555 | 121 | 749 | 151 | table-cell |
| 555 | 121 | 749 | 151 | table-cell |
| 11 | 151 | 73 | 187 | table-cell |
| 11 | 151 | 73 | 187 | table-cell |
| 74 | 151 | 130 | 187 | table-cell |
| 74 | 151 | 130 | 187 | table-cell |
| 130 | 151 | 186 | 187 | table-cell |
| 130 | 151 | 186 | 187 | table-cell |
| 186 | 151 | 252 | 187 | table-cell |
| 186 | 151 | 252 | 187 | table-cell |
| 252 | 151 | 298 | 187 | table-cell |
| 252 | 151 | 298 | 187 | table-cell |
| 298 | 151 | 353 | 187 | table-cell |
| 298 | 151 | 353 | 187 | table-cell |
| 354 | 151 | 406 | 187 | table-cell |
| 354 | 151 | 406 | 187 | table-cell |
| 407 | 151 | 456 | 187 | table-cell |
| 407 | 151 | 456 | 187 | table-cell |
| 455 | 151 | 505 | 187 | table-cell |
| 455 | 151 | 505 | 187 | table-cell |
| 503 | 151 | 555 | 187 | table-cell |
| 503 | 151 | 555 | 187 | table-cell |
| 555 | 151 | 749 | 187 | table-cell |
| 555 | 151 | 749 | 187 | table-cell |
| 748 | 151 | 769 | 187 | table-cell |
| 748 | 151 | 769 | 187 | table-cell |
| 11 | 188 | 73 | 228 | table-cell |
| 11 | 188 | 73 | 228 | table-cell |
| 74 | 188 | 130 | 228 | table-cell |
| 74 | 188 | 130 | 228 | table-cell |
| 130 | 188 | 186 | 228 | table-cell |
| 130 | 188 | 186 | 228 | table-cell |
| 186 | 188 | 252 | 228 | table-cell |
| 186 | 188 | 252 | 228 | table-cell |
| 252 | 188 | 298 | 228 | table-cell |
| 252 | 188 | 298 | 228 | table-cell |
| 298 | 188 | 353 | 228 | table-cell |
| 298 | 188 | 353 | 228 | table-cell |
| 354 | 188 | 406 | 228 | table-cell |
| 354 | 188 | 406 | 228 | table-cell |
| 407 | 188 | 456 | 228 | table-cell |
| 407 | 188 | 456 | 228 | table-cell |
| 455 | 188 | 505 | 228 | table-cell |
| 455 | 188 | 505 | 228 | table-cell |
| 503 | 188 | 555 | 228 | table-cell |
| 503 | 188 | 555 | 228 | table-cell |
| 555 | 188 | 749 | 228 | table-cell |
| 555 | 188 | 749 | 228 | table-cell |
| 748 | 188 | 769 | 228 | table-cell |
| 748 | 188 | 769 | 228 | table-cell |
| 11 | 227 | 73 | 268 | table-cell |
| 11 | 227 | 73 | 268 | table-cell |
| 74 | 227 | 130 | 268 | table-cell |
| 74 | 227 | 130 | 268 | table-cell |
| 130 | 227 | 186 | 268 | table-cell |
| 130 | 227 | 186 | 268 | table-cell |
| 186 | 227 | 252 | 268 | table-cell |
| 186 | 227 | 252 | 268 | table-cell |
| 252 | 227 | 298 | 268 | table-cell |
| 252 | 227 | 298 | 268 | table-cell |
| 298 | 227 | 353 | 268 | table-cell |
| 298 | 227 | 353 | 268 | table-cell |
| 354 | 227 | 406 | 268 | table-cell |
| 354 | 227 | 406 | 268 | table-cell |
| 407 | 227 | 456 | 268 | table-cell |
| 407 | 227 | 456 | 268 | table-cell |
| 455 | 227 | 505 | 268 | table-cell |
| 455 | 227 | 505 | 268 | table-cell |
| 503 | 227 | 555 | 268 | table-cell |
| 503 | 227 | 555 | 268 | table-cell |
| 555 | 227 | 749 | 268 | table-cell |
| 555 | 227 | 749 | 268 | table-cell |
| 748 | 227 | 769 | 268 | table-cell |
