service_id,date,holiday_name,exception_type
c_71306_b_84949_d_96,20251225,Christmas - Weekend Service,1
c_71306_b_84949_d_96,20251127,Thanksgiving Day - Weekend Service,1
c_71306_b_84949_d_96,20250901,Labor Day - Weekend Service,1
c_71306_b_84949_d_96,20250704,Independence Day - Weekend Service,1
c_71306_b_84949_d_31,20251225,Christmas - Weekend Service,2
c_71306_b_84949_d_31,20251127,Thanksgiving Day - Weekend Service,2
c_71306_b_84949_d_31,20250901,Labor Day - Weekend Service,2
c_71306_b_84949_d_31,20250704,Independence Day - Weekend Service,2
