TATR Layout Regions (531 found)
==================================================

## Collection Inspection (531 elements)

### Table Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 163 | 247 | 514 | 765 | table |
| 163 | 270 | 514 | 749 | table |
| 165 | 460 | 520 | 746 | table |
| 178 | 480 | 520 | 742 | table |
| 173 | 543 | 519 | 753 | table |
| 178 | 562 | 518 | 751 | table |

### Table Column Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 163 | 269 | 208 | 749 | table column |
| 207 | 270 | 513 | 750 | table column |
| 178 | 479 | 205 | 739 | table column |
| 205 | 479 | 519 | 735 | table column |
| 178 | 562 | 205 | 751 | table column |
| 205 | 563 | 519 | 751 | table column |

### Table Row Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 163 | 271 | 513 | 290 | table row |
| 163 | 289 | 513 | 310 | table row |
| 163 | 309 | 513 | 345 | table row |
| 163 | 346 | 514 | 368 | table row |
| 163 | 366 | 514 | 428 | table row |
| 163 | 432 | 513 | 479 | table row |
| 163 | 475 | 513 | 522 | table row |
| 178 | 479 | 519 | 523 | table row |
| 163 | 492 | 513 | 534 | table row |
| 178 | 523 | 519 | 560 | table row |
| 163 | 535 | 513 | 570 | table row |
| 178 | 559 | 519 | 623 | table row |
| 178 | 561 | 519 | 620 | table row |
| 163 | 568 | 513 | 629 | table row |
| 178 | 621 | 519 | 658 | table row |
| 163 | 636 | 513 | 668 | table row |
| 178 | 637 | 520 | 672 | table row |
| 178 | 655 | 519 | 725 | table row |
| 178 | 663 | 520 | 729 | table row |
| 163 | 669 | 513 | 733 | table row |
| 163 | 730 | 513 | 750 | table row |

### Table-Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 163 | 271 | 208 | 290 | table-cell |
| 163 | 271 | 208 | 290 | table-cell |
| 207 | 271 | 513 | 290 | table-cell |
| 207 | 271 | 513 | 290 | table-cell |
| 163 | 289 | 208 | 310 | table-cell |
| 163 | 289 | 208 | 310 | table-cell |
| 207 | 289 | 513 | 310 | table-cell |
| 207 | 289 | 513 | 310 | table-cell |
| 163 | 309 | 208 | 345 | table-cell |
| 163 | 309 | 208 | 345 | table-cell |
| 207 | 309 | 513 | 345 | table-cell |
| 207 | 309 | 513 | 345 | table-cell |
| 163 | 346 | 208 | 368 | table-cell |
| 163 | 346 | 208 | 368 | table-cell |
| 207 | 346 | 513 | 368 | table-cell |
| 207 | 346 | 513 | 368 | table-cell |
| 163 | 366 | 208 | 428 | table-cell |
| 163 | 366 | 208 | 428 | table-cell |
| 207 | 366 | 513 | 428 | table-cell |
| 207 | 366 | 513 | 428 | table-cell |
| 163 | 432 | 208 | 479 | table-cell |
| 163 | 432 | 208 | 479 | table-cell |
| 163 | 432 | 208 | 479 | table-cell |
| 207 | 432 | 513 | 479 | table-cell |
| 207 | 432 | 513 | 479 | table-cell |
| 207 | 432 | 513 | 479 | table-cell |
| 163 | 475 | 208 | 522 | table-cell |
| 163 | 475 | 208 | 522 | table-cell |
| 163 | 475 | 208 | 522 | table-cell |
