bande_src;bande_dst;detecteur;delta_t
B01;B02;D01;-2.31400
B01;B02;D02;2.31400
B01;B02;D03;-2.31400
B01;B02;D04;2.31400
B01;B02;D05;-2.31400
B01;B02;D06;2.31400
B01;B02;D07;-2.31400
B01;B02;D08;2.31400
B01;B02;D09;-2.31400
B01;B02;D10;2.31400
B01;B02;D11;-2.31400
B01;B02;D12;2.31400
B01;B03;D01;-1.78700
B01;B03;D02;1.78700
B01;B03;D03;-1.78700
B01;B03;D04;1.78700
B01;B03;D05;-1.78700
B01;B03;D06;1.78700
B01;B03;D07;-1.78700
B01;B03;D08;1.78700
B01;B03;D09;-1.78700
B01;B03;D10;1.78700
B01;B03;D11;-1.78700
B01;B03;D12;1.78700
B01;B04;D01;-1.30900
B01;B04;D02;1.30900
B01;B04;D03;-1.30900
B01;B04;D04;1.30900
B01;B04;D05;-1.30900
B01;B04;D06;1.30900
B01;B04;D07;-1.30900
B01;B04;D08;1.30900
B01;B04;D09;-1.30900
B01;B04;D10;1.30900
B01;B04;D11;-1.30900
B01;B04;D12;1.30900
B01;B05;D01;-1.04500
B01;B05;D02;1.04500
B01;B05;D03;-1.04500
B01;B05;D04;1.04500
B01;B05;D05;-1.04500
B01;B05;D06;1.04500
B01;B05;D07;-1.04500
B01;B05;D08;1.04500
B01;B05;D09;-1.04500
B01;B05;D10;1.04500
B01;B05;D11;-1.04500
B01;B05;D12;1.04500
B01;B06;D01;-0.78900
B01;B06;D02;0.78900
B01;B06;D03;-0.78900
B01;B06;D04;0.78900
B01;B06;D05;-0.78900
B01;B06;D06;0.78900
B01;B06;D07;-0.78900
B01;B06;D08;0.78900
B01;B06;D09;-0.78900
B01;B06;D10;0.78900
B01;B06;D11;-0.78900
B01;B06;D12;0.78900
B01;B07;D01;-0.52400
B01;B07;D02;0.52400
B01;B07;D03;-0.52400
B01;B07;D04;0.52400
B01;B07;D05;-0.52400
B01;B07;D06;0.52400
B01;B07;D07;-0.52400
B01;B07;D08;0.52400
B01;B07;D09;-0.52400
B01;B07;D10;0.52400
B01;B07;D11;-0.52400
B01;B07;D12;0.52400
B01;B08;D01;-2.05000
B01;B08;D02;2.05000
B01;B08;D03;-2.05000
B01;B08;D04;2.05000
B01;B08;D05;-2.05000
B01;B08;D06;2.05000
B01;B08;D07;-2.05000
B01;B08;D08;2.05000
B01;B08;D09;-2.05000
B01;B08;D10;2.05000
B01;B08;D11;-2.05000
B01;B08;D12;2.05000
B01;B8A;D01;-0.25900
B01;B8A;D02;0.25900
B01;B8A;D03;-0.25900
B01;B8A;D04;0.25900
B01;B8A;D05;-0.25900
B01;B8A;D06;0.25900
B01;B8A;D07;-0.25900
B01;B8A;D08;0.25900
B01;B8A;D09;-0.25900
B01;B8A;D10;0.25900
B01;B8A;D11;-0.25900
B01;B8A;D12;0.25900
B01;B09;D01;0.27100
B01;B09;D02;-0.27100
B01;B09;D03;0.27100
B01;B09;D04;-0.27100
B01;B09;D05;0.27100
B01;B09;D06;-0.27100
B01;B09;D07;0.27100
B01;B09;D08;-0.27100
B01;B09;D09;0.27100
B01;B09;D10;-0.27100
B01;B09;D11;0.27100
B01;B09;D12;-0.27100
B01;B10;D01;-1.46300
B01;B10;D02;1.46300
B01;B10;D03;-1.46300
B01;B10;D04;1.46300
B01;B10;D05;-1.46300
B01;B10;D06;1.46300
B01;B10;D07;-1.46300
B01;B10;D08;1.46300
B01;B10;D09;-1.46300
B01;B10;D10;1.46300
B01;B10;D11;-1.46300
B01;B10;D12;1.46300
B01;B11;D01;-0.84600
B01;B11;D02;0.84600
B01;B11;D03;-0.84600
B01;B11;D04;0.84600
B01;B11;D05;-0.84600
B01;B11;D06;0.84600
B01;B11;D07;-0.84600
B01;B11;D08;0.84600
B01;B11;D09;-0.84600
B01;B11;D10;0.84600
B01;B11;D11;-0.84600
B01;B11;D12;0.84600
B01;B12;D01;-0.22900
B01;B12;D02;0.22900
B01;B12;D03;-0.22900
B01;B12;D04;0.22900
B01;B12;D05;-0.22900
B01;B12;D06;0.22900
B01;B12;D07;-0.22900
B01;B12;D08;0.22900
B01;B12;D09;-0.22900
B01;B12;D10;0.22900
B01;B12;D11;-0.22900
B01;B12;D12;0.22900
B02;B01;D01;2.31400
B02;B01;D02;-2.31400
B02;B01;D03;2.31400
B02;B01;D04;-2.31400
B02;B01;D05;2.31400
B02;B01;D06;-2.31400
B02;B01;D07;2.31400
B02;B01;D08;-2.31400
B02;B01;D09;2.31400
B02;B01;D10;-2.31400
B02;B01;D11;2.31400
B02;B01;D12;-2.31400
B02;B03;D01;0.52700
B02;B03;D02;-0.52700
B02;B03;D03;0.52700
B02;B03;D04;-0.52700
B02;B03;D05;0.52700
B02;B03;D06;-0.52700
B02;B03;D07;0.52700
B02;B03;D08;-0.52700
B02;B03;D09;0.52700
B02;B03;D10;-0.52700
B02;B03;D11;0.52700
B02;B03;D12;-0.52700
B02;B04;D01;1.00500
B02;B04;D02;-1.00500
B02;B04;D03;1.00500
B02;B04;D04;-1.00500
B02;B04;D05;1.00500
B02;B04;D06;-1.00500
B02;B04;D07;1.00500
B02;B04;D08;-1.00500
B02;B04;D09;1.00500
B02;B04;D10;-1.00500
B02;B04;D11;1.00500
B02;B04;D12;-1.00500
B02;B05;D01;1.26900
