,hidden_size,epochs,rnn_type,dropout,lr,num_layers
146,200,12,RNN_TANH,0.5,2.0,2
221,200,12,LSTM,0.2,0.5,2
339,200,32,LSTM,0.0,2.0,5
96,200,1,LSTM,0.0,2.0,2
181,200,12,GRU,0.0,0.5,2
294,200,32,RNN_RELU,0.5,0.5,5
85,200,1,GRU,0.5,2.0,1
60,200,1,GRU,0.0,0.5,1
31,200,1,RNN_RELU,0.0,0.5,2
259,200,32,RNN_TANH,0.2,2.0,5
57,200,1,RNN_RELU,0.5,2.0,3
41,200,1,RNN_RELU,0.2,0.5,2
200,200,12,GRU,0.5,0.5,1
110,200,1,LSTM,0.5,0.5,1
266,200,32,RNN_TANH,0.5,2.0,2
89,200,1,GRU,0.5,2.0,5
219,200,12,LSTM,0.0,2.0,5
79,200,1,GRU,0.2,2.0,5
239,200,12,LSTM,0.5,2.0,5
193,200,12,GRU,0.2,0.5,4
106,200,1,LSTM,0.2,2.0,2
122,200,12,RNN_TANH,0.0,0.5,3
234,200,12,LSTM,0.5,0.5,5
29,200,1,RNN_TANH,0.5,2.0,5
267,200,32,RNN_TANH,0.5,2.0,3
2,200,1,RNN_TANH,0.0,0.5,3
11,200,1,RNN_TANH,0.2,0.5,2
26,200,1,RNN_TANH,0.5,2.0,2
177,200,12,RNN_RELU,0.5,2.0,3
98,200,1,LSTM,0.0,2.0,4
228,200,12,LSTM,0.2,2.0,4
42,200,1,RNN_RELU,0.2,0.5,3
70,200,1,GRU,0.2,0.5,1
44,200,1,RNN_RELU,0.2,0.5,5
351,200,32,LSTM,0.5,0.5,2
113,200,1,LSTM,0.5,0.5,4
226,200,12,LSTM,0.2,2.0,2
129,200,12,RNN_TANH,0.0,2.0,5
170,200,12,RNN_RELU,0.5,0.5,1
359,200,32,LSTM,0.5,2.0,5
319,200,32,GRU,0.2,2.0,5
244,200,32,RNN_TANH,0.0,0.5,5
320,200,32,GRU,0.5,0.5,1
180,200,12,GRU,0.0,0.5,1
328,200,32,GRU,0.5,2.0,4
243,200,32,RNN_TANH,0.0,0.5,4
139,200,12,RNN_TANH,0.2,2.0,5
313,200,32,GRU,0.2,0.5,4
94,200,1,LSTM,0.0,0.5,5
324,200,32,GRU,0.5,0.5,5
312,200,32,GRU,0.2,0.5,3
222,200,12,LSTM,0.2,0.5,3
59,200,1,RNN_RELU,0.5,2.0,5
183,200,12,GRU,0.0,0.5,4
255,200,32,RNN_TANH,0.2,2.0,1
224,200,12,LSTM,0.2,0.5,5
332,200,32,LSTM,0.0,0.5,3
326,200,32,GRU,0.5,2.0,2
210,200,12,LSTM,0.0,0.5,1
125,200,12,RNN_TANH,0.0,2.0,1
142,200,12,RNN_TANH,0.5,0.5,3
133,200,12,RNN_TANH,0.2,0.5,4
158,200,12,RNN_RELU,0.0,2.0,4
30,200,1,RNN_RELU,0.0,0.5,1
344,200,32,LSTM,0.2,0.5,5
297,200,32,RNN_RELU,0.5,2.0,3
225,200,12,LSTM,0.2,2.0,1
15,200,1,RNN_TANH,0.2,2.0,1
56,200,1,RNN_RELU,0.5,2.0,2
5,200,1,RNN_TANH,0.0,2.0,1
145,200,12,RNN_TANH,0.5,2.0,1
295,200,32,RNN_RELU,0.5,2.0,1
143,200,12,RNN_TANH,0.5,0.5,4
134,200,12,RNN_TANH,0.2,0.5,5
185,200,12,GRU,0.0,2.0,1
9,200,1,RNN_TANH,0.0,2.0,5
291,200,32,RNN_RELU,0.5,0.5,2
195,200,12,GRU,0.2,2.0,1
300,200,32,GRU,0.0,0.5,1
67,200,1,GRU,0.0,2.0,3
127,200,12,RNN_TANH,0.0,2.0,3
19,200,1,RNN_TANH,0.2,2.0,5
302,200,32,GRU,0.0,0.5,3
43,200,1,RNN_RELU,0.2,0.5,4
25,200,1,RNN_TANH,0.5,2.0,1
14,200,1,RNN_TANH,0.2,0.5,5
331,200,32,LSTM,0.0,0.5,2
245,200,32,RNN_TANH,0.0,2.0,1
33,200,1,RNN_RELU,0.0,0.5,4
315,200,32,GRU,0.2,2.0,1
164,200,12,RNN_RELU,0.2,0.5,5
152,200,12,RNN_RELU,0.0,0.5,3
184,200,12,GRU,0.0,0.5,5
150,200,12,RNN_RELU,0.0,0.5,1
58,200,1,RNN_RELU,0.5,2.0,4
287,200,32,RNN_RELU,0.2,2.0,3
7,200,1,RNN_TANH,0.0,2.0,3
290,200,32,RNN_RELU,0.5,0.5,1
84,200,1,GRU,0.5,0.5,5
306,200,32,GRU,0.0,2.0,2
309,200,32,GRU,0.0,2.0,5
242,200,32,RNN_TANH,0.0,0.5,3
167,200,12,RNN_RELU,0.2,2.0,3
272,200,32,RNN_RELU,0.0,0.5,3
149,200,12,RNN_TANH,0.5,2.0,5
46,200,1,RNN_RELU,0.2,2.0,2
80,200,1,GRU,0.5,0.5,1
276,200,32,RNN_RELU,0.0,2.0,2
199,200,12,GRU,0.2,2.0,5
293,200,32,RNN_RELU,0.5,0.5,4
292,200,32,RNN_RELU,0.5,0.5,3
201,200,12,GRU,0.5,0.5,2
285,200,32,RNN_RELU,0.2,2.0,1
147,200,12,RNN_TANH,0.5,2.0,3
330,200,32,LSTM,0.0,0.5,1
104,200,1,LSTM,0.2,0.5,5
212,200,12,LSTM,0.0,0.5,3
241,200,32,RNN_TANH,0.0,0.5,2
36,200,1,RNN_RELU,0.0,2.0,2
74,200,1,GRU,0.2,0.5,5
345,200,32,LSTM,0.2,2.0,1
126,200,12,RNN_TANH,0.0,2.0,2
321,200,32,GRU,0.5,0.5,2
341,200,32,LSTM,0.2,0.5,2
252,200,32,RNN_TANH,0.2,0.5,3
236,200,12,LSTM,0.5,2.0,2
278,200,32,RNN_RELU,0.0,2.0,4
269,200,32,RNN_TANH,0.5,2.0,5
112,200,1,LSTM,0.5,0.5,3
12,200,1,RNN_TANH,0.2,0.5,3
172,200,12,RNN_RELU,0.5,0.5,3
281,200,32,RNN_RELU,0.2,0.5,2
54,200,1,RNN_RELU,0.5,0.5,5
213,200,12,LSTM,0.0,0.5,4
316,200,32,GRU,0.2,2.0,2
186,200,12,GRU,0.0,2.0,2
66,200,1,GRU,0.0,2.0,2
140,200,12,RNN_TANH,0.5,0.5,1
95,200,1,LSTM,0.0,2.0,1
92,200,1,LSTM,0.0,0.5,3
279,200,32,RNN_RELU,0.0,2.0,5
163,200,12,RNN_RELU,0.2,0.5,4
8,200,1,RNN_TANH,0.0,2.0,4
323,200,32,GRU,0.5,0.5,4
24,200,1,RNN_TANH,0.5,0.5,5
301,200,32,GRU,0.0,0.5,2
335,200,32,LSTM,0.0,2.0,1
175,200,12,RNN_RELU,0.5,2.0,1
154,200,12,RNN_RELU,0.0,0.5,5
75,200,1,GRU,0.2,2.0,1
38,200,1,RNN_RELU,0.0,2.0,4
144,200,12,RNN_TANH,0.5,0.5,5
0,200,1,RNN_TANH,0.0,0.5,1
274,200,32,RNN_RELU,0.0,0.5,5
161,200,12,RNN_RELU,0.2,0.5,2
32,200,1,RNN_RELU,0.0,0.5,3
260,200,32,RNN_TANH,0.5,0.5,1
211,200,12,LSTM,0.0,0.5,2
191,200,12,GRU,0.2,0.5,2
148,200,12,RNN_TANH,0.5,2.0,4
347,200,32,LSTM,0.2,2.0,3
268,200,32,RNN_TANH,0.5,2.0,4
81,200,1,GRU,0.5,0.5,2
248,200,32,RNN_TANH,0.0,2.0,4
187,200,12,GRU,0.0,2.0,3
82,200,1,GRU,0.5,0.5,3
256,200,32,RNN_TANH,0.2,2.0,2
18,200,1,RNN_TANH,0.2,2.0,4
119,200,1,LSTM,0.5,2.0,5
51,200,1,RNN_RELU,0.5,0.5,2
114,200,1,LSTM,0.5,0.5,5
237,200,12,LSTM,0.5,2.0,3
90,200,1,LSTM,0.0,0.5,1
109,200,1,LSTM,0.2,2.0,5
174,200,12,RNN_RELU,0.5,0.5,5
214,200,12,LSTM,0.0,0.5,5
173,200,12,RNN_RELU,0.5,0.5,4
157,200,12,RNN_RELU,0.0,2.0,3
358,200,32,LSTM,0.5,2.0,4
270,200,32,RNN_RELU,0.0,0.5,1
263,200,32,RNN_TANH,0.5,0.5,4
250,200,32,RNN_TANH,0.2,0.5,1
261,200,32,RNN_TANH,0.5,0.5,2
204,200,12,GRU,0.5,0.5,5
76,200,1,GRU,0.2,2.0,2
121,200,12,RNN_TANH,0.0,0.5,2
138,200,12,RNN_TANH,0.2,2.0,4
151,200,12,RNN_RELU,0.0,0.5,2
282,200,32,RNN_RELU,0.2,0.5,3
23,200,1,RNN_TANH,0.5,0.5,4
40,200,1,RNN_RELU,0.2,0.5,1
265,200,32,RNN_TANH,0.5,2.0,1
307,200,32,GRU,0.0,2.0,3
238,200,12,LSTM,0.5,2.0,4
131,200,12,RNN_TANH,0.2,0.5,2
314,200,32,GRU,0.2,0.5,5
162,200,12,RNN_RELU,0.2,0.5,3
318,200,32,GRU,0.2,2.0,4
107,200,1,LSTM,0.2,2.0,3
4,200,1,RNN_TANH,0.0,0.5,5
135,200,12,RNN_TANH,0.2,2.0,1
333,200,32,LSTM,0.0,0.5,4
13,200,1,RNN_TANH,0.2,0.5,4
73,200,1,GRU,0.2,0.5,4
340,200,32,LSTM,0.2,0.5,1
105,200,1,LSTM,0.2,2.0,1
322,200,32,GRU,0.5,0.5,3
64,200,1,GRU,0.0,0.5,5
69,200,1,GRU,0.0,2.0,5
303,200,32,GRU,0.0,0.5,4
190,200,12,GRU,0.2,0.5,1
87,200,1,GRU,0.5,2.0,3
93,200,1,LSTM,0.0,0.5,4
21,200,1,RNN_TANH,0.5,0.5,2
251,200,32,RNN_TANH,0.2,0.5,2
124,200,12,RNN_TANH,0.0,0.5,5
233,200,12,LSTM,0.5,0.5,4
275,200,32,RNN_RELU,0.0,2.0,1
198,200,12,GRU,0.2,2.0,4
52,200,1,RNN_RELU,0.5,0.5,3
296,200,32,RNN_RELU,0.5,2.0,2
271,200,32,RNN_RELU,0.0,0.5,2
232,200,12,LSTM,0.5,0.5,3
338,200,32,LSTM,0.0,2.0,4
329,200,32,GRU,0.5,2.0,5
49,200,1,RNN_RELU,0.2,2.0,5
165,200,12,RNN_RELU,0.2,2.0,1
182,200,12,GRU,0.0,0.5,3
264,200,32,RNN_TANH,0.5,0.5,5
47,200,1,RNN_RELU,0.2,2.0,3
155,200,12,RNN_RELU,0.0,2.0,1
20,200,1,RNN_TANH,0.5,0.5,1
343,200,32,LSTM,0.2,0.5,4
115,200,1,LSTM,0.5,2.0,1
356,200,32,LSTM,0.5,2.0,2
286,200,32,RNN_RELU,0.2,2.0,2
247,200,32,RNN_TANH,0.0,2.0,3
253,200,32,RNN_TANH,0.2,0.5,4
1,200,1,RNN_TANH,0.0,0.5,2
132,200,12,RNN_TANH,0.2,0.5,3
61,200,1,GRU,0.0,0.5,2
305,200,32,GRU,0.0,2.0,1
254,200,32,RNN_TANH,0.2,0.5,5
188,200,12,GRU,0.0,2.0,4
100,200,1,LSTM,0.2,0.5,1
194,200,12,GRU,0.2,0.5,5
10,200,1,RNN_TANH,0.2,0.5,1
53,200,1,RNN_RELU,0.5,0.5,4
280,200,32,RNN_RELU,0.2,0.5,1
62,200,1,GRU,0.0,0.5,3
349,200,32,LSTM,0.2,2.0,5
120,200,12,RNN_TANH,0.0,0.5,1
50,200,1,RNN_RELU,0.5,0.5,1
102,200,1,LSTM,0.2,0.5,3
284,200,32,RNN_RELU,0.2,0.5,5
337,200,32,LSTM,0.0,2.0,3
178,200,12,RNN_RELU,0.5,2.0,4
130,200,12,RNN_TANH,0.2,0.5,1
202,200,12,GRU,0.5,0.5,3
257,200,32,RNN_TANH,0.2,2.0,3
206,200,12,GRU,0.5,2.0,2
68,200,1,GRU,0.0,2.0,4
78,200,1,GRU,0.2,2.0,4
108,200,1,LSTM,0.2,2.0,4
353,200,32,LSTM,0.5,0.5,4
35,200,1,RNN_RELU,0.0,2.0,1
308,200,32,GRU,0.0,2.0,4
348,200,32,LSTM,0.2,2.0,4
111,200,1,LSTM,0.5,0.5,2
192,200,12,GRU,0.2,0.5,3
159,200,12,RNN_RELU,0.0,2.0,5
336,200,32,LSTM,0.0,2.0,2
230,200,12,LSTM,0.5,0.5,1
136,200,12,RNN_TANH,0.2,2.0,2
262,200,32,RNN_TANH,0.5,0.5,3
71,200,1,GRU,0.2,0.5,2
116,200,1,LSTM,0.5,2.0,2
258,200,32,RNN_TANH,0.2,2.0,4
27,200,1,RNN_TANH,0.5,2.0,3
83,200,1,GRU,0.5,0.5,4
246,200,32,RNN_TANH,0.0,2.0,2
317,200,32,GRU,0.2,2.0,3
196,200,12,GRU,0.2,2.0,2
101,200,1,LSTM,0.2,0.5,2
217,200,12,LSTM,0.0,2.0,3
45,200,1,RNN_RELU,0.2,2.0,1
216,200,12,LSTM,0.0,2.0,2
77,200,1,GRU,0.2,2.0,3
176,200,12,RNN_RELU,0.5,2.0,2
72,200,1,GRU,0.2,0.5,3
283,200,32,RNN_RELU,0.2,0.5,4
352,200,32,LSTM,0.5,0.5,3
205,200,12,GRU,0.5,2.0,1
218,200,12,LSTM,0.0,2.0,4
354,200,32,LSTM,0.5,0.5,5
169,200,12,RNN_RELU,0.2,2.0,5
88,200,1,GRU,0.5,2.0,4
16,200,1,RNN_TANH,0.2,2.0,2
298,200,32,RNN_RELU,0.5,2.0,4
48,200,1,RNN_RELU,0.2,2.0,4
22,200,1,RNN_TANH,0.5,0.5,3
171,200,12,RNN_RELU,0.5,0.5,2
289,200,32,RNN_RELU,0.2,2.0,5
350,200,32,LSTM,0.5,0.5,1
39,200,1,RNN_RELU,0.0,2.0,5
34,200,1,RNN_RELU,0.0,0.5,5
288,200,32,RNN_RELU,0.2,2.0,4
65,200,1,GRU,0.0,2.0,1
