,hidden_size,epochs,rnn_type,dropout,lr,num_layers
207,200,12,GRU,0.5,2.0,3
249,200,32,RNN_TANH,0.0,2.0,5
240,200,32,RNN_TANH,0.0,0.5,1
227,200,12,LSTM,0.2,2.0,3
223,200,12,LSTM,0.2,0.5,4
118,200,1,LSTM,0.5,2.0,4
327,200,32,GRU,0.5,2.0,3
63,200,1,GRU,0.0,0.5,4
166,200,12,RNN_RELU,0.2,2.0,2
311,200,32,GRU,0.2,0.5,2
97,200,1,LSTM,0.0,2.0,3
179,200,12,RNN_RELU,0.5,2.0,5
156,200,12,RNN_RELU,0.0,2.0,2
37,200,1,RNN_RELU,0.0,2.0,3
123,200,12,RNN_TANH,0.0,0.5,4
220,200,12,LSTM,0.2,0.5,1
229,200,12,LSTM,0.2,2.0,5
91,200,1,LSTM,0.0,0.5,2
235,200,12,LSTM,0.5,2.0,1
17,200,1,RNN_TANH,0.2,2.0,3
310,200,32,GRU,0.2,0.5,1
55,200,1,RNN_RELU,0.5,2.0,1
299,200,32,RNN_RELU,0.5,2.0,5
99,200,1,LSTM,0.0,2.0,5
137,200,12,RNN_TANH,0.2,2.0,3
334,200,32,LSTM,0.0,0.5,5
304,200,32,GRU,0.0,0.5,5
197,200,12,GRU,0.2,2.0,3
203,200,12,GRU,0.5,0.5,4
342,200,32,LSTM,0.2,0.5,3
215,200,12,LSTM,0.0,2.0,1
209,200,12,GRU,0.5,2.0,5
6,200,1,RNN_TANH,0.0,2.0,2
346,200,32,LSTM,0.2,2.0,2
28,200,1,RNN_TANH,0.5,2.0,4
103,200,1,LSTM,0.2,0.5,4
357,200,32,LSTM,0.5,2.0,3
325,200,32,GRU,0.5,2.0,1
86,200,1,GRU,0.5,2.0,2
160,200,12,RNN_RELU,0.2,0.5,1
277,200,32,RNN_RELU,0.0,2.0,3
273,200,32,RNN_RELU,0.0,0.5,4
141,200,12,RNN_TANH,0.5,0.5,2
153,200,12,RNN_RELU,0.0,0.5,4
168,200,12,RNN_RELU,0.2,2.0,4
189,200,12,GRU,0.0,2.0,5
231,200,12,LSTM,0.5,0.5,2
3,200,1,RNN_TANH,0.0,0.5,4
355,200,32,LSTM,0.5,2.0,1
208,200,12,GRU,0.5,2.0,4
128,200,12,RNN_TANH,0.0,2.0,4
117,200,1,LSTM,0.5,2.0,3
