TATR Layout Regions (352 found)
==================================================

## Collection Inspection (352 elements)

### Table Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 8 | 443 | 590 | 816 | table |
| 13 | 444 | 444 | 653 | table |
| 8 | 449 | 590 | 815 | table |
| 13 | 472 | 421 | 624 | table |

### Table Column Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 9 | 448 | 37 | 815 | table column |
| 9 | 448 | 202 | 815 | table column |
| 133 | 449 | 590 | 815 | table column |
| 19 | 471 | 55 | 622 | table column |
| 13 | 472 | 107 | 622 | table column |
| 109 | 472 | 420 | 620 | table column |
| 262 | 473 | 367 | 623 | table column |

### Table Row Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 8 | 449 | 590 | 478 | table row |
| 14 | 472 | 422 | 490 | table row |
| 8 | 480 | 590 | 512 | table row |
| 13 | 487 | 421 | 509 | table row |
| 13 | 509 | 421 | 533 | table row |
| 8 | 512 | 590 | 535 | table row |
| 8 | 535 | 590 | 558 | table row |
| 8 | 557 | 590 | 582 | table row |
| 13 | 575 | 421 | 613 | table row |
| 14 | 609 | 422 | 628 | table row |
| 9 | 646 | 590 | 688 | table row |
| 8 | 684 | 590 | 710 | table row |
| 9 | 705 | 590 | 725 | table row |
| 8 | 726 | 590 | 780 | table row |
| 8 | 779 | 590 | 799 | table row |
| 8 | 799 | 590 | 815 | table row |

### Table-Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 9 | 449 | 202 | 478 | table-cell |
| 9 | 449 | 202 | 478 | table-cell |
| 9 | 449 | 202 | 478 | table-cell |
| 9 | 449 | 202 | 478 | table-cell |
| 9 | 449 | 37 | 478 | table-cell |
| 9 | 449 | 37 | 478 | table-cell |
| 9 | 449 | 37 | 478 | table-cell |
| 9 | 449 | 37 | 478 | table-cell |
| 133 | 449 | 590 | 478 | table-cell |
| 133 | 449 | 590 | 478 | table-cell |
| 133 | 449 | 590 | 478 | table-cell |
| 133 | 449 | 590 | 478 | table-cell |
| 19 | 471 | 55 | 478 | table-cell |
