compound,c,rep1,rep2,rep3,rep4
probe,3,132,130,130,136
probe,1.2,129,130,131,133
probe,0.48,129,130,126,130
probe,0.192,120,126,121,121
probe,0.0768,106,103,106,107
probe,0.03072,83,85,89,81
probe,0.012288,59,64,61,62
probe,0.0049152,36,38,38,39
probe,0.00196608,31,33,34,36
probe,0.000786432,26,28,32,33
probe,0.000314573,25,32,30,28
