All Layout Regions (950 found)
==================================================
YOLO: 2, TATR: 948, Other: 0

## Collection Inspection (950 elements)

### Table Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 8 | 38 | 583 | 738 | table |
| 18 | 101 | 575 | 723 | table |
| 18 | 105 | 575 | 722 | table |

### Table Spanning Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 436 | 104 | 464 | 158 | table spanning cell |
| 466 | 104 | 575 | 123 | table spanning cell |
| 464 | 105 | 528 | 158 | table spanning cell |
| 171 | 105 | 237 | 155 | table spanning cell |
| 346 | 105 | 435 | 156 | table spanning cell |
| 18 | 105 | 169 | 163 | table spanning cell |

### Table Column Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 18 | 104 | 171 | 721 | table column |
| 295 | 105 | 347 | 722 | table column |
| 436 | 105 | 463 | 722 | table column |
| 172 | 105 | 242 | 722 | table column |
| 242 | 105 | 299 | 722 | table column |
| 463 | 105 | 528 | 722 | table column |
| 531 | 105 | 575 | 722 | table column |
| 349 | 105 | 433 | 722 | table column |

### Table Row Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 18 | 105 | 574 | 127 | table row |
| 18 | 121 | 574 | 136 | table row |
| 18 | 128 | 574 | 160 | table row |
| 18 | 163 | 574 | 178 | table row |
| 18 | 177 | 574 | 189 | table row |
| 18 | 190 | 574 | 200 | table row |
| 18 | 200 | 574 | 211 | table row |
| 18 | 210 | 574 | 221 | table row |
| 18 | 221 | 574 | 232 | table row |
| 18 | 231 | 574 | 242 | table row |
| 18 | 243 | 574 | 256 | table row |
| 18 | 253 | 574 | 276 | table row |
| 18 | 274 | 574 | 298 | table row |
| 18 | 292 | 574 | 312 | table row |
| 18 | 309 | 574 | 321 | table row |
| 18 | 319 | 574 | 330 | table row |
| 18 | 331 | 574 | 342 | table row |
| 18 | 342 | 574 | 353 | table row |
| 18 | 349 | 575 | 361 | table row |
| 18 | 356 | 574 | 367 | table row |
| 18 | 365 | 574 | 377 | table row |
| 18 | 376 | 574 | 394 | table row |
| 18 | 383 | 574 | 406 | table row |
| 18 | 409 | 574 | 432 | table row |
| 18 | 421 | 574 | 439 | table row |
| 18 | 432 | 574 | 444 | table row |
| 18 | 437 | 574 | 449 | table row |
| 18 | 444 | 574 | 455 | table row |
| 18 | 450 | 574 | 461 | table row |
| 18 | 456 | 574 | 468 | table row |
| 18 | 463 | 574 | 474 | table row |
| 18 | 469 | 574 | 482 | table row |
| 18 | 476 | 574 | 492 | table row |
| 18 | 482 | 574 | 504 | table row |
| 18 | 502 | 574 | 522 | table row |
| 18 | 513 | 574 | 530 | table row |
| 18 | 527 | 574 | 539 | table row |
| 18 | 536 | 574 | 547 | table row |
| 18 | 538 | 574 | 550 | table row |
| 18 | 555 | 574 | 567 | table row |
| 18 | 562 | 574 | 574 | table row |
| 18 | 568 | 574 | 579 | table row |
| 18 | 577 | 574 | 588 | table row |
| 18 | 584 | 574 | 595 | table row |
| 18 | 586 | 575 | 598 | table row |
| 18 | 599 | 575 | 623 | table row |
| 18 | 622 | 575 | 645 | table row |
| 18 | 645 | 575 | 657 | table row |
| 18 | 657 | 574 | 668 | table row |
| 18 | 668 | 574 | 678 | table row |
| 18 | 678 | 574 | 689 | table row |
| 18 | 689 | 574 | 699 | table row |
| 18 | 699 | 574 | 710 | table row |
| 18 | 710 | 574 | 722 | table row |

### Table-Cell Elements

| x0 | top | x1 | bottom | type |
|------|------|------|------|------|
| 18 | 105 | 171 | 127 | table-cell |
| 18 | 105 | 171 | 127 | table-cell |
| 295 | 105 | 347 | 127 | table-cell |
| 295 | 105 | 347 | 127 | table-cell |
| 436 | 105 | 463 | 127 | table-cell |
| 436 | 105 | 463 | 127 | table-cell |
| 172 | 105 | 242 | 127 | table-cell |
| 172 | 105 | 242 | 127 | table-cell |
| 242 | 105 | 299 | 127 | table-cell |
| 242 | 105 | 299 | 127 | table-cell |
| 463 | 105 | 528 | 127 | table-cell |
| 463 | 105 | 528 | 127 | table-cell |
| 531 | 105 | 574 | 127 | table-cell |
| 531 | 105 | 574 | 127 | table-cell |
| 349 | 105 | 433 | 127 | table-cell |
| 349 | 105 | 433 | 127 | table-cell |
| 18 | 121 | 171 | 136 | table-cell |
| 18 | 121 | 171 | 136 | table-cell |
| 172 | 121 | 242 | 136 | table-cell |
| 172 | 121 | 242 | 136 | table-cell |
| 242 | 121 | 299 | 136 | table-cell |
| 242 | 121 | 299 | 136 | table-cell |
| 295 | 121 | 347 | 136 | table-cell |
| 295 | 121 | 347 | 136 | table-cell |
| 349 | 121 | 433 | 136 | table-cell |
| 349 | 121 | 433 | 136 | table-cell |
| 436 | 121 | 463 | 136 | table-cell |
| 436 | 121 | 463 | 136 | table-cell |
| 463 | 121 | 528 | 136 | table-cell |
| 463 | 121 | 528 | 136 | table-cell |
| 531 | 121 | 574 | 136 | table-cell |
| 531 | 121 | 574 | 136 | table-cell |
| 18 | 128 | 171 | 160 | table-cell |
| 18 | 128 | 171 | 160 | table-cell |
| 172 | 128 | 242 | 160 | table-cell |
| 172 | 128 | 242 | 160 | table-cell |
| 242 | 128 | 299 | 160 | table-cell |
| 242 | 128 | 299 | 160 | table-cell |
| 295 | 128 | 347 | 160 | table-cell |
| 295 | 128 | 347 | 160 | table-cell |
| 349 | 128 | 433 | 160 | table-cell |
| 349 | 128 | 433 | 160 | table-cell |
| 436 | 128 | 463 | 160 | table-cell |
| 436 | 128 | 463 | 160 | table-cell |
| 463 | 128 | 528 | 160 | table-cell |
| 463 | 128 | 528 | 160 | table-cell |
| 531 | 128 | 574 | 160 | table-cell |
| 531 | 128 | 574 | 160 | table-cell |
| 18 | 163 | 171 | 178 | table-cell |
| 18 | 163 | 171 | 178 | table-cell |
| 172 | 163 | 242 | 178 | table-cell |
| 172 | 163 | 242 | 178 | table-cell |
| 242 | 163 | 299 | 178 | table-cell |
| 242 | 163 | 299 | 178 | table-cell |
| 295 | 163 | 347 | 178 | table-cell |
| 295 | 163 | 347 | 178 | table-cell |
| 349 | 163 | 433 | 178 | table-cell |
| 349 | 163 | 433 | 178 | table-cell |
| 436 | 163 | 463 | 178 | table-cell |
| 436 | 163 | 463 | 178 | table-cell |
| 463 | 163 | 528 | 178 | table-cell |
| 463 | 163 | 528 | 178 | table-cell |
| 531 | 163 | 574 | 178 | table-cell |
| 531 | 163 | 574 | 178 | table-cell |
| 18 | 177 | 171 | 189 | table-cell |
| 18 | 177 | 171 | 189 | table-cell |
| 172 | 177 | 242 | 189 | table-cell |
| 172 | 177 | 242 | 189 | table-cell |
| 242 | 177 | 299 | 189 | table-cell |
| 242 | 177 | 299 | 189 | table-cell |
| 295 | 177 | 347 | 189 | table-cell |
| 295 | 177 | 347 | 189 | table-cell |
| 349 | 177 | 433 | 189 | table-cell |
| 349 | 177 | 433 | 189 | table-cell |
| 436 | 177 | 463 | 189 | table-cell |
| 436 | 177 | 463 | 189 | table-cell |
| 463 | 177 | 528 | 189 | table-cell |
| 463 | 177 | 528 | 189 | table-cell |
| 531 | 177 | 574 | 189 | table-cell |
| 531 | 177 | 574 | 189 | table-cell |
| 18 | 190 | 171 | 200 | table-cell |
| 18 | 190 | 171 | 200 | table-cell |
| 172 | 190 | 242 | 200 | table-cell |
| 172 | 190 | 242 | 200 | table-cell |
| 242 | 190 | 299 | 200 | table-cell |
| 242 | 190 | 299 | 200 | table-cell |
| 295 | 190 | 347 | 200 | table-cell |
| 295 | 190 | 347 | 200 | table-cell |
| 349 | 190 | 433 | 200 | table-cell |
| 349 | 190 | 433 | 200 | table-cell |
| 436 | 190 | 463 | 200 | table-cell |
| 436 | 190 | 463 | 200 | table-cell |
| 463 | 190 | 528 | 200 | table-cell |
| 463 | 190 | 528 | 200 | table-cell |
| 531 | 190 | 574 | 200 | table-cell |
| 531 | 190 | 574 | 200 | table-cell |
| 18 | 200 | 171 | 211 | table-cell |
| 18 | 200 | 171 | 211 | table-cell |
| 172 | 200 | 242 | 211 | table-cell |
| 172 | 200 | 242 | 211 | table-cell |
| 242 | 200 | 299 | 211 | table-cell |
| 242 | 200 | 299 | 211 | table-cell |
| 295 | 200 | 347 | 211 | table-cell |
| 295 | 200 | 347 | 211 | table-cell |
| 349 | 200 | 433 | 211 | table-cell |
| 349 | 200 | 433 | 211 | table-cell |
| 436 | 200 | 463 | 211 | table-cell |
| 436 | 200 | 463 | 211 | table-cell |
| 463 | 200 | 528 | 211 | table-cell |
| 463 | 200 | 528 | 211 | table-cell |
| 531 | 200 | 574 | 211 | table-cell |
| 531 | 200 | 574 | 211 | table-cell |
| 18 | 210 | 171 | 221 | table-cell |
| 18 | 210 | 171 | 221 | table-cell |
| 172 | 210 | 242 | 221 | table-cell |
| 172 | 210 | 242 | 221 | table-cell |
| 242 | 210 | 299 | 221 | table-cell |
| 242 | 210 | 299 | 221 | table-cell |
| 295 | 210 | 347 | 221 | table-cell |
| 295 | 210 | 347 | 221 | table-cell |
| 349 | 210 | 433 | 221 | table-cell |
| 349 | 210 | 433 | 221 | table-cell |
| 436 | 210 | 463 | 221 | table-cell |
| 436 | 210 | 463 | 221 | table-cell |
| 463 | 210 | 528 | 221 | table-cell |
| 463 | 210 | 528 | 221 | table-cell |
| 531 | 210 | 574 | 221 | table-cell |
| 531 | 210 | 574 | 221 | table-cell |
| 18 | 221 | 171 | 232 | table-cell |
| 18 | 221 | 171 | 232 | table-cell |
| 172 | 221 | 242 | 232 | table-cell |
| 172 | 221 | 242 | 232 | table-cell |
| 242 | 221 | 299 | 232 | table-cell |
| 242 | 221 | 299 | 232 | table-cell |
| 295 | 221 | 347 | 232 | table-cell |
| 295 | 221 | 347 | 232 | table-cell |
| 349 | 221 | 433 | 232 | table-cell |
| 349 | 221 | 433 | 232 | table-cell |
| 436 | 221 | 463 | 232 | table-cell |
| 436 | 221 | 463 | 232 | table-cell |
| 463 | 221 | 528 | 232 | table-cell |
| 463 | 221 | 528 | 232 | table-cell |
| 531 | 221 | 574 | 232 | table-cell |
| 531 | 221 | 574 | 232 | table-cell |
| 18 | 231 | 171 | 242 | table-cell |
| 18 | 231 | 171 | 242 | table-cell |
| 172 | 231 | 242 | 242 | table-cell |
| 172 | 231 | 242 | 242 | table-cell |
| 242 | 231 | 299 | 242 | table-cell |
| 242 | 231 | 299 | 242 | table-cell |
| 295 | 231 | 347 | 242 | table-cell |
| 295 | 231 | 347 | 242 | table-cell |
| 349 | 231 | 433 | 242 | table-cell |
| 349 | 231 | 433 | 242 | table-cell |
| 436 | 231 | 463 | 242 | table-cell |
| 436 | 231 | 463 | 242 | table-cell |
| 463 | 231 | 528 | 242 | table-cell |
| 463 | 231 | 528 | 242 | table-cell |
| 531 | 231 | 574 | 242 | table-cell |
| 531 | 231 | 574 | 242 | table-cell |
| 18 | 243 | 171 | 256 | table-cell |
| 18 | 243 | 171 | 256 | table-cell |
| 172 | 243 | 242 | 256 | table-cell |
| 172 | 243 | 242 | 256 | table-cell |
| 242 | 243 | 299 | 256 | table-cell |
| 242 | 243 | 299 | 256 | table-cell |
| 295 | 243 | 347 | 256 | table-cell |
| 295 | 243 | 347 | 256 | table-cell |
| 349 | 243 | 433 | 256 | table-cell |
| 349 | 243 | 433 | 256 | table-cell |
| 436 | 243 | 463 | 256 | table-cell |
| 436 | 243 | 463 | 256 | table-cell |
| 463 | 243 | 528 | 256 | table-cell |
| 463 | 243 | 528 | 256 | table-cell |
| 531 | 243 | 574 | 256 | table-cell |
| 531 | 243 | 574 | 256 | table-cell |
| 18 | 253 | 171 | 276 | table-cell |
| 18 | 253 | 171 | 276 | table-cell |
| 172 | 253 | 242 | 276 | table-cell |
| 172 | 253 | 242 | 276 | table-cell |
| 242 | 253 | 299 | 276 | table-cell |
| 242 | 253 | 299 | 276 | table-cell |
| 295 | 253 | 347 | 276 | table-cell |
| 295 | 253 | 347 | 276 | table-cell |
| 349 | 253 | 433 | 276 | table-cell |
| 349 | 253 | 433 | 276 | table-cell |
| 436 | 253 | 463 | 276 | table-cell |
| 436 | 253 | 463 | 276 | table-cell |
| 463 | 253 | 528 | 276 | table-cell |
| 463 | 253 | 528 | 276 | table-cell |
| 531 | 253 | 574 | 276 | table-cell |
| 531 | 253 | 574 | 276 | table-cell |
| 18 | 274 | 171 | 298 | table-cell |
| 18 | 274 | 171 | 298 | table-cell |
| 172 | 274 | 242 | 298 | table-cell |
| 172 | 274 | 242 | 298 | table-cell |
| 242 | 274 | 299 | 298 | table-cell |
| 242 | 274 | 299 | 298 | table-cell |
| 295 | 274 | 347 | 298 | table-cell |
| 295 | 274 | 347 | 298 | table-cell |
| 349 | 274 | 433 | 298 | table-cell |
| 349 | 274 | 433 | 298 | table-cell |
| 436 | 274 | 463 | 298 | table-cell |
| 436 | 274 | 463 | 298 | table-cell |
| 463 | 274 | 528 | 298 | table-cell |
| 463 | 274 | 528 | 298 | table-cell |
| 531 | 274 | 574 | 298 | table-cell |
| 531 | 274 | 574 | 298 | table-cell |
| 18 | 292 | 171 | 312 | table-cell |
| 18 | 292 | 171 | 312 | table-cell |
| 172 | 292 | 242 | 312 | table-cell |
