ppt,safe_magnitudes,risky_magnitudes_1,risky_magnitudes_2,choice,chose_left,safe_prob,risky_prob_1,risky_prob_2
593,-45,-100,0,0,0,1,0.5,0.5
593,-55,-122,0,0,1,1,0.5,0.5
593,-30,-51,0,1,0,1,0.5,0.5
593,55,53,0,0,1,1,0.5,0.5
593,-35,-64,0,1,0,1,0.5,0.5
593,55,79,0,0,0,1,0.5,0.5
593,55,124,0,1,1,1,0.5,0.5
593,35,58,0,1,0,1,0.5,0.5
593,30,220,0,1,1,1,0.5,0.5
593,-55,-56,0,1,1,1,0.5,0.5
593,-55,-68,0,1,1,1,0.5,0.5
593,-35,-94,0,0,1,1,0.5,0.5
593,-35,-112,0,0,0,1,0.5,0.5
593,35,98,0,1,1,1,0.5,0.5
593,-45,-110,0,0,0,1,0.5,0.5
593,-45,-90,0,1,1,1,0.5,0.5
593,55,51,0,0,0,1,0.5,0.5
593,-55,-220,0,0,1,1,0.5,0.5
593,55,113,0,1,1,1,0.5,0.5
593,30,74,0,1,0,1,0.5,0.5
593,35,98,0,1,1,1,0.5,0.5
593,-35,-68,0,1,0,1,0.5,0.5
593,-30,-120,0,0,0,1,0.5,0.5
593,-35,-98,0,0,0,1,0.5,0.5
593,-30,-60,0,1,0,1,0.5,0.5
593,35,100,0,1,1,1,0.5,0.5
593,-45,-49,0,1,0,1,0.5,0.5
593,30,107,0,1,0,1,0.5,0.5
593,35,87,0,1,1,1,0.5,0.5
593,55,107,0,0,1,1,0.5,0.5
593,-45,-132,0,0,0,1,0.5,0.5
593,45,180,0,1,0,1,0.5,0.5
593,30,100,0,1,0,1,0.5,0.5
593,35,64,0,1,1,1,0.5,0.5
593,30,49,0,1,1,1,0.5,0.5
593,-35,-66,0,1,1,1,0.5,0.5
593,55,66,0,0,0,1,0.5,0.5
593,-35,-84,0,0,0,1,0.5,0.5
593,35,107,0,1,1,1,0.5,0.5
593,-35,-79,0,0,1,1,0.5,0.5
593,-45,-84,0,1,0,1,0.5,0.5
593,-55,-95,0,1,0,1,0.5,0.5
593,-30,-53,0,1,1,1,0.5,0.5
593,-45,-120,0,0,1,1,0.5,0.5
593,35,85,0,1,1,1,0.5,0.5
593,35,58,0,0,0,1,0.5,0.5
593,-35,-66,0,1,1,1,0.5,0.5
593,-30,-148,0,0,1,1,0.5,0.5
593,45,102,0,1,1,1,0.5,0.5
