bande_src,bande_dst,detecteur,delta_t,Hsat,vground
B1,B2,D01,-2.341418125,793280.818,6712.455077
B1,B2,D02,2.331005086,793280.818,6712.455077
B1,B2,D03,-2.311345513,793291.5973,6712.43645
B1,B2,D04,2.306382649,793291.5973,6712.43645
B1,B2,D05,-2.295025738,793291.5973,6712.43645
B1,B2,D06,2.294178371,793291.5973,6712.43645
B1,B2,D07,-2.289145485,793291.5973,6712.43645
B1,B2,D08,2.296141282,793291.5973,6712.43645
B1,B2,D09,-2.297907274,793291.5973,6712.43645
B1,B2,D10,2.310517553,793291.5973,6712.43645
B1,B2,D11,-2.318532722,793280.818,6712.455077
B1,B2,D12,2.340893321,793280.818,6712.455077
B1,B3,D01,-1.815515627,793280.818,6712.455077
B1,B3,D02,1.804957382,793280.818,6712.455077
B1,B3,D03,-1.79149571,793291.5973,6712.43645
B1,B3,D04,1.785854048,793291.5973,6712.43645
B1,B3,D05,-1.779144185,793291.5973,6712.43645
B1,B3,D06,1.776678926,793291.5973,6712.43645
B1,B3,D07,-1.77431743,793291.5973,6712.43645
B1,B3,D08,1.778331496,793291.5973,6712.43645
B1,B3,D09,-1.781579412,793291.5973,6712.43645
B1,B3,D10,1.789253379,793291.5973,6712.43645
B1,B3,D11,-1.798189654,793280.818,6712.455077
B1,B3,D12,1.813117703,793280.818,6712.455077
B1,B4,D01,-1.331746605,793280.818,6712.455077
B1,B4,D02,1.319823582,793280.818,6712.455077
B1,B4,D03,-1.314381375,793291.5973,6712.43645
B1,B4,D04,1.305853212,793291.5973,6712.43645
B1,B4,D05,-1.305453992,793291.5973,6712.43645
B1,B4,D06,1.299218331,793291.5973,6712.43645
B1,B4,D07,-1.302680166,793291.5973,6712.43645
B1,B4,D08,1.300109044,793291.5973,6712.43645
B1,B4,D09,-1.306972632,793291.5973,6712.43645
B1,B4,D10,1.307853437,793291.5973,6712.43645
B1,B4,D11,-1.318595699,793280.818,6712.455077
B1,B4,D12,1.325764409,793280.818,6712.455077
B1,B5,D01,-1.066089865,793280.818,6712.455077
B1,B5,D02,1.056546011,793280.818,6712.455077
B1,B5,D03,-1.052426829,793291.5973,6712.43645
B1,B5,D04,1.04566535,793291.5973,6712.43645
B1,B5,D05,-1.045004534,793291.5973,6712.43645
B1,B5,D06,1.03994202,793291.5973,6712.43645
B1,B5,D07,-1.042475703,793291.5973,6712.43645
B1,B5,D08,1.040860718,793291.5973,6712.43645
B1,B5,D09,-1.046455774,793291.5973,6712.43645
B1,B5,D10,1.047395622,793291.5973,6712.43645
B1,B5,D11,-1.055408696,793280.818,6712.455077
B1,B5,D12,1.06174122,793280.818,6712.455077
B1,B6,D01,-0.804403822,793280.818,6712.455077
B1,B6,D02,0.788667788,793280.818,6712.455077
B1,B6,D03,-0.794255636,793291.5973,6712.43645
B1,B6,D04,0.781126718,793291.5973,6712.43645
B1,B6,D05,-0.788787943,793291.5973,6712.43645
B1,B6,D06,0.777067239,793291.5973,6712.43645
B1,B6,D07,-0.786721689,793291.5973,6712.43645
B1,B6,D08,0.777438307,793291.5973,6712.43645
B1,B6,D09,-0.789849778,793291.5973,6712.43645
B1,B6,D10,0.782306119,793291.5973,6712.43645
B1,B6,D11,-0.796758529,793280.818,6712.455077
B1,B6,D12,0.79284752,793280.818,6712.455077
B1,B7,D01,-0.540157448,793280.818,6712.455077
B1,B7,D02,0.524580034,793280.818,6712.455077
B1,B7,D03,-0.533382144,793291.5973,6712.43645
B1,B7,D04,0.519427545,793291.5973,6712.43645
B1,B7,D05,-0.529555791,793291.5973,6712.43645
B1,B7,D06,0.516950916,793291.5973,6712.43645
B1,B7,D07,-0.528180752,793291.5973,6712.43645
B1,B7,D08,0.516842571,793291.5973,6712.43645
B1,B7,D09,-0.530545267,793291.5973,6712.43645
B1,B7,D10,0.52055804,793291.5973,6712.43645
B1,B7,D11,-0.534973538,793280.818,6712.455077
B1,B7,D12,0.527355885,793280.818,6712.455077
B1,B8,D01,-2.078705418,793280.818,6712.455077
B1,B8,D02,2.068410623,793280.818,6712.455077
B1,B8,D03,-2.051505943,793291.5973,6712.43645
B1,B8,D04,2.046828285,793291.5973,6712.43645
B1,B8,D05,-2.036401858,793291.5973,6712.43645
B1,B8,D06,2.036028273,793291.5973,6712.43645
B1,B8,D07,-2.031725147,793291.5973,6712.43645
B1,B8,D08,2.03764085,793291.5973,6712.43645
B1,B8,D09,-2.040052826,793291.5973,6712.43645
B1,B8,D10,2.050630628,793291.5973,6712.43645
B1,B8,D11,-2.058490127,793280.818,6712.455077
B1,B8,D12,2.077672199,793280.818,6712.455077
B1,B8a,D01,-0.277645768,793280.818,6712.455077
B1,B8a,D02,0.255644245,793280.818,6712.455077
B1,B8a,D03,-0.274520327,793291.5973,6712.43645
B1,B8a,D04,0.253344231,793291.5973,6712.43645
B1,B8a,D05,-0.273110799,793291.5973,6712.43645
B1,B8a,D06,0.251920636,793291.5973,6712.43645
B1,B8a,D07,-0.272119844,793291.5973,6712.43645
B1,B8a,D08,0.252741809,793291.5973,6712.43645
B1,B8a,D09,-0.273297999,793291.5973,6712.43645
B1,B8a,D10,0.254876424,793291.5973,6712.43645
