## Collection Inspection (318 elements)

### Word Elements

| text | x0 | top | x1 | bottom | font_family | font_variant | size | bold | italic | source | confidence | color |
|------|------|------|------|------|------|------|------|------|------|------|------|------|
|   | 290 | 18 | 296 | 44 | Times |  | 26 | False | False | native | 1.00 | #000000 |
| OECCD Prrogrammme for  | 172 | 48 | 413 | 74 | Times |  | 26 | False | False | native | 1.00 | #000000 |
| Innternattionall Studdent AAssesssmentt 20122  | 86 | 78 | 499 | 104 | Times |  | 26 | False | False | native | 1.00 | #000000 |
| Č | 404 | 168 | 408 | 177 | Calibri | BCPCCF | 9 | False | True | native | 1.00 | #000000 |
| eská | 408 | 168 | 425 | 177 | Calibri | BCPCDG | 9 | False | True | native | 1.00 | #000000 |
|   | 425 | 168 | 427 | 177 | Calibri | BCPCCF | 9 | False | True | native | 1.00 | #000000 |
| rrepublika | 427 | 168 | 462 | 177 | Calibri | BCPCDG | 9 | False | True | native | 1.00 | #000000 |
|   | 462 | 168 | 464 | 177 | Calibri | BCPCCF | 9 | False | True | native | 1.00 | #000000 |
|   | 333 | 169 | 335 | 178 | Arial | EQNPUL | 9 | False | False | native | 1.00 | #000000 |
| Datum | 345 | 195 | 373 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
|   | 373 | 195 | 375 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
| ttestování | 375 | 195 | 412 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
|   | 412 | 195 | 415 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
| ( | 415 | 195 | 418 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
| Hla  v  n  í šetře | 418 | 195 | 465 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
| ní | 465 | 195 | 472 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
|   | 472 | 195 | 474 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
| PISA | 475 | 195 | 492 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
|   | 492 | 195 | 495 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
| 20 | 495 | 195 | 505 | 205 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
| 12)  | 505 | 195 | 520 | 205 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
|   | 123 | 220 | 129 | 246 | Calibri | BCNMPH | 26 | False | False | native | 1.00 | #000000 |
| 201 | 493 | 223 | 508 | 233 | Calibri | BCNOIN | 10 | False | False | native | 1.00 | #000000 |
| 2  | 508 | 223 | 516 | 233 | Calibri | BCNMPH | 10 | False | False | native | 1.00 | #000000 |
|   | 463 | 227 | 465 | 236 | Calibri | BCNMPH | 9 | False | False | native | 1.00 | #000000 |
| ěě | 429 | 236 | 434 | 245 | Calibri | BCNMPH | 9 | False | False | native | 1.00 | #000000 |
| síc | 435 | 236 | 444 | 245 | Calibri | BCNOIN | 9 | False | False | native | 1.00 | #000000 |
|   | 444 | 236 | 446 | 245 | Calibri | BCNMPH | 9 | False | False | native | 1.00 | #000000 |
| Den | 355 | 236 | 370 | 245 | Calibri | BCNOIN | 9 | False | False | native | 1.00 | #000000 |
|   | 370 | 236 | 372 | 245 | Calibri | BCNMPH | 9 | False | False | native | 1.00 | #000000 |
| M | 422 | 236 | 429 | 245 | Calibri | BCNOIN | 9 | False | False | native | 1.00 | #000000 |
| ORGANISATION | 14 | 241 | 49 | 246 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
|   | 49 | 241 | 51 | 246 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| FOOR | 51 | 241 | 60 | 246 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
|   | 60 | 241 | 61 | 246 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| ECONOMIC | 61 | 241 | 86 | 246 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
|    | 86 | 241 | 89 | 246 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| AND | 50 | 247 | 60 | 253 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
|   | 60 | 247 | 62 | 253 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| DEVELOPMENT | 62 | 247 | 96 | 253 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
| CO | 14 | 247 | 21 | 253 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
| ‐ | 21 | 247 | 23 | 253 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| OPERATION | 22 | 247 | 49 | 253 | Calibri | BCNOIN | 6 | False | False | native | 1.00 | #49442a |
|   | 49 | 247 | 50 | 253 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 96 | 247 | 97 | 253 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 254 | 15 | 260 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 261 | 15 | 266 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 268 | 15 | 273 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 274 | 15 | 280 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 281 | 15 | 286 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| Žákovskký | 225 | 284 | 276 | 298 | Calibri | BCNOIN | 14 | False | False | native | 1.00 | #000000 |
|   | 276 | 284 | 280 | 298 | Calibri | BCNMPH | 14 | False | False | native | 1.00 | #000000 |
| dotazník | 280 | 284 | 328 | 298 | Calibri | BCNOIN | 14 | False | False | native | 1.00 | #000000 |
|   | 328 | 284 | 331 | 298 | Calibri | BCNMPH | 14 | False | False | native | 1.00 | #000000 |
| – | 331 | 284 | 338 | 298 | Calibri | BCNOIN | 14 | False | False | native | 1.00 | #000000 |
|   | 14 | 288 | 15 | 293 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 294 | 15 | 300 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| verze | 225 | 301 | 255 | 315 | Calibri | BCNOIN | 14 | False | False | native | 1.00 | #000000 |
|   | 255 | 301 | 258 | 315 | Calibri | BCNMPH | 14 | False | False | native | 1.00 | #000000 |
| A | 258 | 301 | 266 | 315 | Calibri | BCNOIN | 14 | False | False | native | 1.00 | #000000 |
|   | 14 | 301 | 15 | 307 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|    | 14 | 308 | 17 | 313 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 315 | 15 | 320 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 321 | 15 | 327 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 328 | 15 | 334 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 335 | 15 | 340 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 341 | 15 | 347 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 348 | 15 | 354 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 355 | 15 | 360 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 362 | 15 | 367 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 368 | 15 | 374 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 375 | 15 | 380 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 382 | 15 | 387 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 388 | 15 | 394 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 395 | 15 | 401 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 402 | 15 | 407 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 408 | 15 | 414 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 415 | 15 | 421 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 422 | 15 | 427 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 429 | 15 | 434 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 435 | 15 | 441 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 442 | 15 | 448 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 449 | 15 | 454 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 456 | 15 | 461 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 462 | 15 | 468 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 469 | 15 | 474 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 476 | 15 | 481 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 482 | 15 | 488 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 489 | 15 | 495 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 543 | 569 | 545 | 574 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 574 | 15 | 579 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 581 | 15 | 586 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
| Tento | 65 | 589 | 91 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 91 | 589 | 93 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| proojekt | 93 | 589 | 125 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 126 | 589 | 128 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| je | 128 | 589 | 136 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 136 | 589 | 139 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| spoluufinancován | 139 | 589 | 212 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 212 | 589 | 214 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| Evropským | 214 | 589 | 263 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 263 | 589 | 265 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| ssociálním | 265 | 589 | 308 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 308 | 589 | 311 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| fonndem | 311 | 589 | 345 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 345 | 589 | 348 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| a | 348 | 589 | 353 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 353 | 589 | 356 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| státnním | 356 | 589 | 389 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 389 | 589 | 392 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| rozpo | 392 | 589 | 417 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
| č | 417 | 589 | 422 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| teem | 422 | 589 | 441 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|  Č | 441 | 589 | 449 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| eské | 449 | 589 | 469 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 469 | 589 | 472 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
| reppubliky. | 472 | 589 | 516 | 600 | Calibri | BCNOIN | 11 | False | False | native | 1.00 | #000000 |
|   | 516 | 589 | 518 | 600 | Calibri | BCNMPH | 11 | False | False | native | 1.00 | #000000 |
|   | 14 | 601 | 15 | 606 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
|   | 14 | 608 | 15 | 613 | Calibri | BCNMPH | 6 | False | False | native | 1.00 | #49442a |
